cve,epss,percentile,percentile_subset,timestamp,date
CVE-2025-9815,0.000670000,0.208960000,0.8094357076780758,2025-11-04,2025-11-04
CVE-2025-9814,0.000360000,0.096750000,0.4350138760407031,2025-11-04,2025-11-04
CVE-2025-9813,0.000940000,0.269850000,0.8656336725254394,2025-11-04,2025-11-04
CVE-2025-9812,0.000940000,0.269850000,0.8656336725254394,2025-11-04,2025-11-04
CVE-2025-9811,0.000360000,0.096750000,0.4350138760407031,2025-11-04,2025-11-04
CVE-2025-9810,0.000180000,0.030980000,0.12696577243293247,2025-11-04,2025-11-04
CVE-2025-9809,0.000900000,0.263310000,0.8603145235892692,2025-11-04,2025-11-04
CVE-2025-9806,0.000140000,0.016570000,0.05272895467160037,2025-11-04,2025-11-04
CVE-2025-9805,0.000550000,0.171790000,0.7497687326549491,2025-11-04,2025-11-04
CVE-2025-9802,0.000370000,0.102810000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9801,0.000890000,0.261210000,0.8596207215541165,2025-11-04,2025-11-04
CVE-2025-9800,0.000550000,0.171790000,0.7497687326549491,2025-11-04,2025-11-04
CVE-2025-9799,0.000460000,0.139970000,0.6493987049028677,2025-11-04,2025-11-04
CVE-2025-9797,0.000350000,0.094280000,0.3841350601295097,2025-11-04,2025-11-04
CVE-2025-9796,0.000390000,0.110280000,0.5226641998149861,2025-11-04,2025-11-04
CVE-2025-9795,0.000260000,0.058270000,0.2314986123959297,2025-11-04,2025-11-04
CVE-2025-9794,0.000530000,0.163980000,0.7326549491211841,2025-11-04,2025-11-04
CVE-2025-9793,0.000360000,0.096750000,0.4350138760407031,2025-11-04,2025-11-04
CVE-2025-9792,0.000360000,0.096750000,0.4350138760407031,2025-11-04,2025-11-04
CVE-2025-9791,0.000960000,0.274340000,0.8686401480111008,2025-11-04,2025-11-04
CVE-2025-9790,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9789,0.000480000,0.147690000,0.6988899167437558,2025-11-04,2025-11-04
CVE-2025-9788,0.000360000,0.096750000,0.4350138760407031,2025-11-04,2025-11-04
CVE-2025-9786,0.000360000,0.096750000,0.4350138760407031,2025-11-04,2025-11-04
CVE-2025-9783,0.001430000,0.352320000,0.904486586493987,2025-11-04,2025-11-04
CVE-2025-9782,0.001430000,0.352320000,0.904486586493987,2025-11-04,2025-11-04
CVE-2025-9781,0.001430000,0.352320000,0.904486586493987,2025-11-04,2025-11-04
CVE-2025-9780,0.001430000,0.352320000,0.904486586493987,2025-11-04,2025-11-04
CVE-2025-9779,0.001430000,0.352320000,0.904486586493987,2025-11-04,2025-11-04
CVE-2025-9778,0.000120000,0.012570000,0.04278445883441258,2025-11-04,2025-11-04
CVE-2025-9775,0.000600000,0.186920000,0.7802960222016652,2025-11-04,2025-11-04
CVE-2025-9774,0.000290000,0.071460000,0.280527289546716,2025-11-04,2025-11-04
CVE-2025-9773,0.000410000,0.119460000,0.6008325624421832,2025-11-04,2025-11-04
CVE-2025-9772,0.000600000,0.186920000,0.7802960222016652,2025-11-04,2025-11-04
CVE-2025-9771,0.000360000,0.096750000,0.4350138760407031,2025-11-04,2025-11-04
CVE-2025-9770,0.000380000,0.108940000,0.5099444958371878,2025-11-04,2025-11-04
CVE-2025-9769,0.000590000,0.184340000,0.7747456059204441,2025-11-04,2025-11-04
CVE-2025-9768,0.000320000,0.083730000,0.30319148936170215,2025-11-04,2025-11-04
CVE-2025-9767,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9766,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9765,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9764,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9763,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9761,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9760,0.000550000,0.171440000,0.7497687326549491,2025-11-04,2025-11-04
CVE-2025-9759,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9758,0.000320000,0.083730000,0.30319148936170215,2025-11-04,2025-11-04
CVE-2025-9757,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9756,0.000320000,0.083730000,0.30319148936170215,2025-11-04,2025-11-04
CVE-2025-9755,0.000410000,0.119460000,0.6008325624421832,2025-11-04,2025-11-04
CVE-2025-9754,0.000320000,0.080770000,0.30319148936170215,2025-11-04,2025-11-04
CVE-2025-9753,0.000380000,0.107780000,0.5099444958371878,2025-11-04,2025-11-04
CVE-2025-9752,0.003840000,0.589480000,0.961840888066605,2025-11-04,2025-11-04
CVE-2025-9751,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9570,0.000670000,0.210320000,0.8094357076780758,2025-11-04,2025-11-04
CVE-2025-9569,0.000510000,0.156550000,0.7215541165587419,2025-11-04,2025-11-04
CVE-2025-9568,0.000510000,0.156550000,0.7215541165587419,2025-11-04,2025-11-04
CVE-2025-9567,0.000510000,0.156550000,0.7215541165587419,2025-11-04,2025-11-04
CVE-2025-9375,0.000810000,0.244700000,0.8503700277520814,2025-11-04,2025-11-04
CVE-2025-8662,0.000800000,0.243080000,0.8482886216466234,2025-11-04,2025-11-04
CVE-2025-7731,0.000170000,0.029750000,0.09435707678075855,2025-11-04,2025-11-04
CVE-2025-7405,0.002390000,0.468530000,0.9431082331174838,2025-11-04,2025-11-04
CVE-2025-6507,0.001040000,0.290690000,0.877890841813136,2025-11-04,2025-11-04
CVE-2025-58318,0.000220000,0.045460000,0.158418131359852,2025-11-04,2025-11-04
CVE-2025-58178,0.000560000,0.173820000,0.7569380203515264,2025-11-04,2025-11-04
CVE-2025-58162,0.001080000,0.297800000,0.8827474560592045,2025-11-04,2025-11-04
CVE-2025-58161,0.001360000,0.340860000,0.9017113783533766,2025-11-04,2025-11-04
CVE-2025-57808,0.048110000,0.889930000,0.9932932469935245,2025-11-04,2025-11-04
CVE-2025-57799,0.016620000,0.814570000,0.9877428307123034,2025-11-04,2025-11-04
CVE-2025-55007,0.000330000,0.085180000,0.3360314523589269,2025-11-04,2025-11-04
CVE-2025-54857,0.008000000,0.732910000,0.9805735430157262,2025-11-04,2025-11-04
CVE-2025-44017,0.000350000,0.094890000,0.3841350601295097,2025-11-04,2025-11-04
CVE-2025-41690,0.000360000,0.097320000,0.4350138760407031,2025-11-04,2025-11-04
CVE-2025-41030,0.000950000,0.271630000,0.8672525439407955,2025-11-04,2025-11-04
CVE-2025-36133,0.000160000,0.025020000,0.0851063829787234,2025-11-04,2025-11-04
CVE-2025-3586,0.004850000,0.644680000,0.9703977798334875,2025-11-04,2025-11-04
CVE-2025-33102,0.000180000,0.031460000,0.12696577243293247,2025-11-04,2025-11-04
CVE-2025-33099,0.000270000,0.061740000,0.27335800185013875,2025-11-04,2025-11-04
CVE-2025-33084,0.000190000,0.037670000,0.14037927844588344,2025-11-04,2025-11-04
CVE-2025-33083,0.000310000,0.080130000,0.2902405180388529,2025-11-04,2025-11-04
CVE-2025-33082,0.000310000,0.080130000,0.2902405180388529,2025-11-04,2025-11-04
CVE-2025-2412,0.000740000,0.227690000,0.8355689176688251,2025-11-04,2025-11-04
CVE-2025-20708,0.003250000,0.549280000,0.9546716003700277,2025-11-04,2025-11-04
CVE-2025-20707,0.000060000,0.002660000,0.012950971322849213,2025-11-04,2025-11-04
CVE-2025-20706,0.000060000,0.002510000,0.012950971322849213,2025-11-04,2025-11-04
CVE-2025-20705,0.000060000,0.002510000,0.012950971322849213,2025-11-04,2025-11-04
CVE-2025-20704,0.002150000,0.441110000,0.9373265494912119,2025-11-04,2025-11-04
CVE-2025-20703,0.003640000,0.577500000,0.9592969472710453,2025-11-04,2025-11-04
CVE-2025-0656,0.000840000,0.252370000,0.8529139685476411,2025-11-04,2025-11-04
CVE-2025-0610,0.000250000,0.053300000,0.20212765957446807,2025-11-04,2025-11-04
CVE-2024-28988,0.001790000,0.398350000,0.9213691026827012,2025-11-04,2025-11-04
CVE-2024-12925,0.000290000,0.072100000,0.280527289546716,2025-11-04,2025-11-04
CVE-2024-12924,0.000360000,0.099350000,0.4350138760407031,2025-11-04,2025-11-04
CVE-2024-12914,0.000360000,0.098860000,0.4350138760407031,2025-11-04,2025-11-04
CVE-2022-38696,0.000870000,0.257410000,0.8563829787234043,2025-11-04,2025-11-04
CVE-2022-38695,0.000170000,0.030840000,0.09435707678075855,2025-11-04,2025-11-04
CVE-2022-38694,0.002890000,0.520170000,0.9491211840888066,2025-11-04,2025-11-04
CVE-2022-38693,0.000870000,0.257410000,0.8563829787234043,2025-11-04,2025-11-04
CVE-2022-38692,0.000670000,0.209330000,0.8094357076780758,2025-11-04,2025-11-04
CVE-2022-38691,0.001100000,0.300570000,0.8848288621646624,2025-11-04,2025-11-04
CVE-2025-9837,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9836,0.000350000,0.092080000,0.3841350601295097,2025-11-04,2025-11-04
CVE-2025-9835,0.000420000,0.123280000,0.6121646623496763,2025-11-04,2025-11-04
CVE-2025-9834,0.000320000,0.080770000,0.30319148936170215,2025-11-04,2025-11-04
CVE-2025-9833,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9832,0.000530000,0.163980000,0.7326549491211841,2025-11-04,2025-11-04
CVE-2025-9831,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9830,0.000370000,0.104350000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9829,0.000480000,0.147690000,0.6988899167437558,2025-11-04,2025-11-04
CVE-2025-9828,0.000630000,0.197940000,0.7964847363552267,2025-11-04,2025-11-04
CVE-2025-9784,0.001520000,0.364290000,0.9128122109158187,2025-11-04,2025-11-04
CVE-2025-9696,0.000120000,0.011870000,0.04278445883441258,2025-11-04,2025-11-04
CVE-2025-9573,0.004060000,0.603520000,0.9639222941720629,2025-11-04,2025-11-04
CVE-2025-9330,0.000180000,0.033200000,0.12696577243293247,2025-11-04,2025-11-04
CVE-2025-9329,0.000740000,0.229120000,0.8355689176688251,2025-11-04,2025-11-04
CVE-2025-9328,0.000740000,0.229120000,0.8355689176688251,2025-11-04,2025-11-04
CVE-2025-9327,0.000310000,0.077460000,0.2902405180388529,2025-11-04,2025-11-04
CVE-2025-9326,0.000740000,0.229120000,0.8355689176688251,2025-11-04,2025-11-04
CVE-2025-9325,0.000310000,0.077460000,0.2902405180388529,2025-11-04,2025-11-04
CVE-2025-9324,0.000310000,0.077460000,0.2902405180388529,2025-11-04,2025-11-04
CVE-2025-9323,0.000310000,0.077460000,0.2902405180388529,2025-11-04,2025-11-04
CVE-2025-9276,0.005140000,0.656970000,0.9727104532839963,2025-11-04,2025-11-04
CVE-2025-9275,0.000690000,0.213850000,0.8216928769657724,2025-11-04,2025-11-04
CVE-2025-9274,0.000550000,0.170390000,0.7497687326549491,2025-11-04,2025-11-04
CVE-2025-9273,0.002000000,0.423180000,0.9324699352451434,2025-11-04,2025-11-04
CVE-2025-9189,0.000370000,0.103100000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-9188,0.001230000,0.321630000,0.8970860314523589,2025-11-04,2025-11-04
CVE-2025-8614,0.000180000,0.033200000,0.12696577243293247,2025-11-04,2025-11-04
CVE-2025-8613,0.007010000,0.712230000,0.9787234042553191,2025-11-04,2025-11-04
CVE-2025-8302,0.000190000,0.036100000,0.14037927844588344,2025-11-04,2025-11-04
CVE-2025-8301,0.000190000,0.036100000,0.14037927844588344,2025-11-04,2025-11-04
CVE-2025-8300,0.000190000,0.036100000,0.14037927844588344,2025-11-04,2025-11-04
CVE-2025-8299,0.000190000,0.036100000,0.14037927844588344,2025-11-04,2025-11-04
CVE-2025-8298,0.000160000,0.024870000,0.0851063829787234,2025-11-04,2025-11-04
CVE-2025-7976,0.002400000,0.472160000,0.9433395004625347,2025-11-04,2025-11-04
CVE-2025-7975,0.003370000,0.559570000,0.9565217391304348,2025-11-04,2025-11-04
CVE-2025-7974,0.000960000,0.273770000,0.8686401480111008,2025-11-04,2025-11-04
CVE-2025-6685,0.011290000,0.776130000,0.9840425531914894,2025-11-04,2025-11-04
CVE-2025-6519,0.000590000,0.185930000,0.7747456059204441,2025-11-04,2025-11-04
CVE-2025-57778,0.000370000,0.103100000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-57777,0.000370000,0.103100000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-57776,0.000370000,0.103100000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-57775,0.000370000,0.103100000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-57774,0.000370000,0.103100000,0.46877890841813136,2025-11-04,2025-11-04
CVE-2025-57616,0.000720000,0.222480000,0.8265494912118408,2025-11-04,2025-11-04
CVE-2025-57615,0.000720000,0.223030000,0.8265494912118408,2025-11-04,2025-11-04
CVE-2025-57614,0.001170000,0.311650000,0.8929232192414431,2025-11-04,2025-11-04
CVE-2025-57613,0.000720000,0.223030000,0.8265494912118408,2025-11-04,2025-11-04
CVE-2025-57612,0.000720000,0.223030000,0.8265494912118408,2025-11-04,2025-11-04
CVE-2025-57611,0.000510000,0.157910000,0.7215541165587419,2025-11-04,2025-11-04
CVE-2025-57140,0.000440000,0.131200000,0.6327474560592045,2025-11-04,2025-11-04
CVE-2025-5662,0.007980000,0.732560000,0.9803422756706753,2025-11-04,2025-11-04
CVE-2025-56254,0.000320000,0.083840000,0.30319148936170215,2025-11-04,2025-11-04
CVE-2025-55824,0.000530000,0.165210000,0.7326549491211841,2025-11-04,2025-11-04
CVE-2025-55476,0.000330000,0.085800000,0.3360314523589269,2025-11-04,2025-11-04
CVE-2025-55474,0.000440000,0.129800000,0.6327474560592045,2025-11-04,2025-11-04
CVE-2025-55473,0.000340000,0.089890000,0.3501387604070305,2025-11-04,2025-11-04
CVE-2025-55472,0.000360000,0.099540000,0.4350138760407031,2025-11-04,2025-11-04
CVE-2025-55373,0.001040000,0.290090000,0.877890841813136,2025-11-04,2025-11-04
CVE-2025-55372,0.000720000,0.223030000,0.8265494912118408,2025-11-04,2025-11-04
CVE-2025-54599,0.000550000,0.171530000,0.7497687326549491,2025-11-04,2025-11-04
CVE-2025-52551,0.000590000,0.183520000,0.7747456059204441,2025-11-04,2025-11-04
CVE-2025-52550,0.000250000,0.054110000,0.20212765957446807,2025-11-04,2025-11-04
