cve,epss,percentile,percentile_subset,timestamp,date,cve.id,cvss_baseScore,cve.lastModified
CVE-2025-9815,0.002680000,0.188540000,0.5662037037037037,2026-07-31,2026-07-31,CVE-2025-9815,7.8,2026-06-17T10:09:49.767
CVE-2025-9814,0.003840000,0.311740000,0.7534722222222222,2026-07-31,2026-07-31,CVE-2025-9814,9.8,2026-06-17T10:09:49.630
CVE-2025-9813,0.007850000,0.524970000,0.9284722222222223,2026-07-31,2026-07-31,CVE-2025-9813,8.8,2026-06-17T10:09:49.497
CVE-2025-9812,0.005950000,0.450870000,0.8914351851851852,2026-07-31,2026-07-31,CVE-2025-9812,8.8,2026-06-17T10:09:49.360
CVE-2025-9811,0.003840000,0.311740000,0.7534722222222222,2026-07-31,2026-07-31,CVE-2025-9811,9.8,2026-06-17T10:09:49.223
CVE-2025-9810,0.000990000,0.009350000,0.03819444444444445,2026-07-31,2026-07-31,CVE-2025-9810,5.8,2026-06-17T10:09:49.110
CVE-2025-9809,0.003950000,0.323380000,0.7796296296296297,2026-07-31,2026-07-31,CVE-2025-9809,9.8,2026-06-17T10:09:48.990
CVE-2025-9806,0.001450000,0.042200000,0.17060185185185187,2026-07-31,2026-07-31,CVE-2025-9806,6.4,2026-06-17T10:09:48.633
CVE-2025-9805,0.002610000,0.178390000,0.5537037037037037,2026-07-31,2026-07-31,CVE-2025-9805,7.5,2026-06-17T10:09:48.483
CVE-2025-9802,0.002400000,0.152290000,0.5069444444444444,2026-07-31,2026-07-31,CVE-2025-9802,4.7,2026-06-17T10:09:47.957
CVE-2025-9801,0.006600000,0.480120000,0.9064814814814814,2026-07-31,2026-07-31,CVE-2025-9801,8.1,2026-06-17T10:09:47.813
CVE-2025-9800,0.002850000,0.207840000,0.5953703703703703,2026-07-31,2026-07-31,CVE-2025-9800,6.1,2026-06-17T10:09:47.667
CVE-2025-9799,0.002570000,0.173370000,0.5421296296296296,2026-07-31,2026-07-31,CVE-2025-9799,5.0,2026-06-17T10:09:47.503
CVE-2025-9797,0.002460000,0.159960000,0.51875,2026-07-31,2026-07-31,CVE-2025-9797,2.4,2026-06-17T10:09:47.270
CVE-2025-9796,0.003280000,0.253130000,0.6715277777777777,2026-07-31,2026-07-31,CVE-2025-9796,4.1,2026-06-17T10:09:47.123
CVE-2025-9795,0.002060000,0.108700000,0.4041666666666667,2026-07-31,2026-07-31,CVE-2025-9795,5.4,2026-06-17T10:09:46.990
CVE-2025-9794,0.003870000,0.315230000,0.762962962962963,2026-07-31,2026-07-31,CVE-2025-9794,9.8,2026-06-17T10:09:46.850
CVE-2025-9793,0.003840000,0.311710000,0.7534722222222222,2026-07-31,2026-07-31,CVE-2025-9793,9.8,2026-06-17T10:09:46.710
CVE-2025-9792,0.003840000,0.311720000,0.7534722222222222,2026-07-31,2026-07-31,CVE-2025-9792,9.8,2026-06-17T10:09:46.573
CVE-2025-9791,0.007700000,0.520430000,0.9261574074074074,2026-07-31,2026-07-31,CVE-2025-9791,9.8,2026-06-17T10:09:46.433
CVE-2025-9790,0.004410000,0.362450000,0.8203703703703704,2026-07-31,2026-07-31,CVE-2025-9790,9.8,2026-06-17T10:09:46.297
CVE-2025-9789,0.004410000,0.362360000,0.8203703703703704,2026-07-31,2026-07-31,CVE-2025-9789,9.8,2026-06-17T10:09:46.150
CVE-2025-9788,0.003840000,0.311720000,0.7534722222222222,2026-07-31,2026-07-31,CVE-2025-9788,9.8,2026-06-17T10:09:46.013
CVE-2025-9786,0.003840000,0.311730000,0.7534722222222222,2026-07-31,2026-07-31,CVE-2025-9786,9.8,2026-06-17T10:09:45.767
CVE-2025-9783,0.005980000,0.452390000,0.8923611111111112,2026-07-31,2026-07-31,CVE-2025-9783,8.8,2026-06-17T10:09:45.080
