cve,epss,percentile,percentile_subset,timestamp,date,cve.id,cvss_baseScore,cve.lastModified
CVE-2025-9815,0.002620000,0.175520000,0.5189814814814815,2026-08-24,2026-08-24,CVE-2025-9815,7.8,2026-06-17T10:09:49.767
CVE-2025-9814,0.004170000,0.344540000,0.7657407407407407,2026-08-24,2026-08-24,CVE-2025-9814,9.8,2026-06-17T10:09:49.630
CVE-2025-9813,0.008520000,0.554560000,0.9305555555555556,2026-08-24,2026-08-24,CVE-2025-9813,8.8,2026-06-17T10:09:49.497
CVE-2025-9812,0.006460000,0.481900000,0.8969907407407407,2026-08-24,2026-08-24,CVE-2025-9812,8.8,2026-06-17T10:09:49.360
CVE-2025-9811,0.004170000,0.344520000,0.7657407407407407,2026-08-24,2026-08-24,CVE-2025-9811,9.8,2026-06-17T10:09:49.223
CVE-2025-9810,0.001060000,0.011920000,0.038425925925925926,2026-08-24,2026-08-24,CVE-2025-9810,5.8,2026-06-17T10:09:49.110
CVE-2025-9809,0.004240000,0.351000000,0.7849537037037037,2026-08-24,2026-08-24,CVE-2025-9809,9.8,2026-06-17T10:09:48.990
CVE-2025-9806,0.001570000,0.050410000,0.19652777777777777,2026-08-24,2026-08-24,CVE-2025-9806,6.4,2026-06-17T10:09:48.633
CVE-2025-9805,0.002830000,0.202950000,0.5615740740740741,2026-08-24,2026-08-24,CVE-2025-9805,7.5,2026-06-17T10:09:48.483
CVE-2025-9802,0.002600000,0.173390000,0.5143518518518518,2026-08-24,2026-08-24,CVE-2025-9802,4.7,2026-06-17T10:09:47.957
CVE-2025-9801,0.007160000,0.509820000,0.9122685185185185,2026-08-24,2026-08-24,CVE-2025-9801,8.1,2026-06-17T10:09:47.813
CVE-2025-9800,0.003090000,0.230360000,0.6106481481481482,2026-08-24,2026-08-24,CVE-2025-9800,6.1,2026-06-17T10:09:47.667
CVE-2025-9799,0.002790000,0.197860000,0.5548611111111111,2026-08-24,2026-08-24,CVE-2025-9799,5.0,2026-06-17T10:09:47.503
CVE-2025-9797,0.002670000,0.183580000,0.5287037037037037,2026-08-24,2026-08-24,CVE-2025-9797,2.4,2026-06-17T10:09:47.270
CVE-2025-9796,0.003560000,0.282120000,0.6835648148148148,2026-08-24,2026-08-24,CVE-2025-9796,4.1,2026-06-17T10:09:47.123
CVE-2025-9795,0.002240000,0.127860000,0.418287037037037,2026-08-24,2026-08-24,CVE-2025-9795,5.4,2026-06-17T10:09:46.990
CVE-2025-9794,0.004210000,0.348030000,0.7733796296296296,2026-08-24,2026-08-24,CVE-2025-9794,9.8,2026-06-17T10:09:46.850
CVE-2025-9793,0.004170000,0.344530000,0.7657407407407407,2026-08-24,2026-08-24,CVE-2025-9793,9.8,2026-06-17T10:09:46.710
CVE-2025-9792,0.004170000,0.344530000,0.7657407407407407,2026-08-24,2026-08-24,CVE-2025-9792,9.8,2026-06-17T10:09:46.573
CVE-2025-9791,0.008360000,0.549840000,0.9291666666666667,2026-08-24,2026-08-24,CVE-2025-9791,9.8,2026-06-17T10:09:46.433
CVE-2025-9790,0.004780000,0.391180000,0.8328703703703704,2026-08-24,2026-08-24,CVE-2025-9790,9.8,2026-06-17T10:09:46.297
CVE-2025-9789,0.004780000,0.391190000,0.8328703703703704,2026-08-24,2026-08-24,CVE-2025-9789,9.8,2026-06-17T10:09:46.150
CVE-2025-9788,0.004170000,0.344530000,0.7657407407407407,2026-08-24,2026-08-24,CVE-2025-9788,9.8,2026-06-17T10:09:46.013
CVE-2025-9786,0.004170000,0.344540000,0.7657407407407407,2026-08-24,2026-08-24,CVE-2025-9786,9.8,2026-06-17T10:09:45.767
CVE-2025-9783,0.006490000,0.483150000,0.8976851851851851,2026-08-24,2026-08-24,CVE-2025-9783,8.8,2026-06-17T10:09:45.080
CVE-2025-9782,0.006490000,0.483140000,0.8976851851851851,2026-08-24,2026-08-24,CVE-2025-9782,8.8,2026-06-17T10:09:44.940
CVE-2025-9781,0.006490000,0.483140000,0.8976851851851851,2026-08-24,2026-08-24,CVE-2025-9781,8.8,2026-06-17T10:09:44.807
CVE-2025-9780,0.006490000,0.483140000,0.8976851851851851,2026-08-24,2026-08-24,CVE-2025-9780,8.8,2026-06-17T10:09:44.670
CVE-2025-9779,0.006490000,0.483140000,0.8976851851851851,2026-08-24,2026-08-24,CVE-2025-9779,8.8,2026-06-17T10:09:44.533
CVE-2025-9778,0.001410000,0.036730000,0.1050925925925926,2026-08-24,2026-08-24,CVE-2025-9778,7.0,2026-06-17T10:09:44.387
CVE-2025-9775,0.005320000,0.425260000,0.8638888888888889,2026-08-24,2026-08-24,CVE-2025-9775,9.8,2026-06-17T10:09:44.147
CVE-2025-9774,0.003880000,0.316420000,0.7335648148148148,2026-08-24,2026-08-24,CVE-2025-9774,4.3,2026-06-17T10:09:44.013
CVE-2025-9773,0.003950000,0.323250000,0.7393518518518518,2026-08-24,2026-08-24,CVE-2025-9773,6.1,2026-06-17T10:09:43.877
CVE-2025-9772,0.005320000,0.425260000,0.8638888888888889,2026-08-24,2026-08-24,CVE-2025-9772,9.8,2026-06-17T10:09:43.737
CVE-2025-9771,0.004200000,0.347830000,0.7722222222222223,2026-08-24,2026-08-24,CVE-2025-9771,9.8,2026-06-17T10:09:43.600
CVE-2025-9770,0.004740000,0.388540000,0.8287037037037037,2026-08-24,2026-08-24,CVE-2025-9770,9.8,2026-06-17T10:09:43.467
CVE-2025-9769,0.258750000,0.978130000,0.9969907407407408,2026-08-24,2026-08-24,CVE-2025-9769,6.2,2026-06-17T10:09:43.330
CVE-2025-9768,0.004370000,0.362310000,0.7953703703703704,2026-08-24,2026-08-24,CVE-2025-9768,9.8,2026-06-17T10:09:43.187
CVE-2025-9767,0.005250000,0.421140000,0.8604166666666667,2026-08-24,2026-08-24,CVE-2025-9767,9.8,2026-06-17T10:09:43.050
CVE-2025-9766,0.005960000,0.458400000,0.8831018518518519,2026-08-24,2026-08-24,CVE-2025-9766,9.8,2026-06-17T10:09:42.910
CVE-2025-9765,0.004210000,0.348050000,0.7733796296296296,2026-08-24,2026-08-24,CVE-2025-9765,9.8,2026-06-17T10:09:42.777
CVE-2025-9764,0.004210000,0.348100000,0.7733796296296296,2026-08-24,2026-08-24,CVE-2025-9764,9.8,2026-06-17T10:09:42.640
CVE-2025-9763,0.004210000,0.348030000,0.7733796296296296,2026-08-24,2026-08-24,CVE-2025-9763,9.8,2026-06-17T10:09:42.507
CVE-2025-9761,0.004210000,0.348120000,0.7733796296296296,2026-08-24,2026-08-24,CVE-2025-9761,9.8,2026-06-17T10:09:42.267
CVE-2025-9760,0.004170000,0.344570000,0.7657407407407407,2026-08-24,2026-08-24,CVE-2025-9760,8.8,2026-06-17T10:09:42.120
CVE-2025-9759,0.004150000,0.343100000,0.7622685185185185,2026-08-24,2026-08-24,CVE-2025-9759,9.8,2026-06-17T10:09:41.977
CVE-2025-9758,0.003930000,0.321420000,0.7377314814814815,2026-08-24,2026-08-24,CVE-2025-9758,9.8,2026-06-17T10:09:41.840
CVE-2025-9757,0.004510000,0.372840000,0.8127314814814814,2026-08-24,2026-08-24,CVE-2025-9757,9.8,2026-06-17T10:09:41.693
CVE-2025-9756,0.003350000,0.259320000,0.6481481481481481,2026-08-24,2026-08-24,CVE-2025-9756,8.8,2026-06-17T10:09:41.557
CVE-2025-9755,0.003890000,0.317440000,0.7344907407407407,2026-08-24,2026-08-24,CVE-2025-9755,6.1,2026-06-17T10:09:41.413
CVE-2025-9754,0.002780000,0.197360000,0.5509259259259259,2026-08-24,2026-08-24,CVE-2025-9754,5.4,2026-06-17T10:09:41.280
CVE-2025-9753,0.002950000,0.215070000,0.5835648148148148,2026-08-24,2026-08-24,CVE-2025-9753,4.8,2026-06-17T10:09:41.133
CVE-2025-9752,0.158150000,0.966140000,0.9942129629629629,2026-08-24,2026-08-24,CVE-2025-9752,9.8,2026-06-17T10:09:40.990
CVE-2025-9751,0.004150000,0.343100000,0.7622685185185185,2026-08-24,2026-08-24,CVE-2025-9751,9.8,2026-06-17T10:09:40.847
CVE-2025-9570,0.005200000,0.417880000,0.8587962962962963,2026-08-24,2026-08-24,CVE-2025-9570,4.9,2026-06-17T10:09:17.100
CVE-2025-9569,0.002620000,0.175950000,0.5189814814814815,2026-08-24,2026-08-24,CVE-2025-9569,6.1,2026-06-17T10:09:16.980
CVE-2025-9568,0.002620000,0.176260000,0.5189814814814815,2026-08-24,2026-08-24,CVE-2025-9568,6.1,2026-06-17T10:09:16.860
CVE-2025-9567,0.002620000,0.176260000,0.5189814814814815,2026-08-24,2026-08-24,CVE-2025-9567,6.1,2026-06-17T10:09:16.733
CVE-2025-9375,0.004470000,0.369990000,0.8101851851851852,2026-08-24,2026-08-24,CVE-2025-9375,,2026-06-17T10:08:50.167
CVE-2025-8662,0.002890000,0.207990000,0.5740740740740741,2026-08-24,2026-08-24,CVE-2025-8662,4.3,2026-06-17T10:07:24.100
CVE-2025-7731,0.003330000,0.257360000,0.6458333333333334,2026-08-24,2026-08-24,CVE-2025-7731,7.5,2026-06-17T10:05:32.780
CVE-2025-7405,0.004550000,0.375790000,0.8164351851851852,2026-08-24,2026-08-24,CVE-2025-7405,7.3,2026-06-17T10:04:53.277
CVE-2025-6507,0.136170000,0.961710000,0.992824074074074,2026-08-24,2026-08-24,CVE-2025-6507,9.8,2026-06-17T10:02:02.457
CVE-2025-58318,0.001580000,0.050990000,0.2013888888888889,2026-08-24,2026-08-24,CVE-2025-58318,,2026-06-17T09:44:17.510
CVE-2025-58178,0.010940000,0.629770000,0.9458333333333333,2026-08-24,2026-08-24,CVE-2025-58178,7.8,2026-06-17T09:44:01.187
CVE-2025-58162,0.006000000,0.460530000,0.8854166666666666,2026-08-24,2026-08-24,CVE-2025-58162,6.5,2026-06-17T09:44:00.273
CVE-2025-58161,0.007650000,0.526590000,0.9206018518518518,2026-08-24,2026-08-24,CVE-2025-58161,4.3,2026-06-17T09:44:00.153
CVE-2025-57808,0.015580000,0.732790000,0.9604166666666667,2026-08-24,2026-08-24,CVE-2025-57808,8.1,2026-06-17T09:43:28.493
CVE-2025-57799,0.012250000,0.664990000,0.9530092592592593,2026-08-24,2026-08-24,CVE-2025-57799,,2026-06-17T09:43:27.467
CVE-2025-55007,0.001890000,0.084990000,0.3087962962962963,2026-08-24,2026-08-24,CVE-2025-55007,5.3,2026-06-17T09:41:06.217
CVE-2025-54857,0.031330000,0.868740000,0.9722222222222222,2026-08-24,2026-08-24,CVE-2025-54857,9.8,2026-06-17T09:40:48.707
CVE-2025-44017,0.002300000,0.136280000,0.4377314814814815,2026-08-24,2026-08-24,CVE-2025-44017,4.3,2026-06-17T09:24:55.560
CVE-2025-41690,0.002460000,0.156290000,0.487962962962963,2026-08-24,2026-08-24,CVE-2025-41690,7.4,2026-06-17T09:22:57.920
CVE-2025-41030,0.003290000,0.252230000,0.6391203703703704,2026-08-24,2026-08-24,CVE-2025-41030,,2026-06-17T09:22:27.390
CVE-2025-36133,0.001100000,0.013970000,0.04398148148148148,2026-08-24,2026-08-24,CVE-2025-36133,5.5,2026-06-17T09:14:31.523
CVE-2025-3586,0.004170000,0.344750000,0.7657407407407407,2026-08-24,2026-08-24,CVE-2025-3586,7.2,2026-06-17T09:20:15.057
CVE-2025-33102,0.001750000,0.069440000,0.28055555555555556,2026-08-24,2026-08-24,CVE-2025-33102,7.5,2026-06-17T09:13:07.937
CVE-2025-33099,0.001880000,0.084220000,0.30694444444444446,2026-08-24,2026-08-24,CVE-2025-33099,5.9,2026-06-17T09:13:07.620
CVE-2025-33084,0.002100000,0.109920000,0.36736111111111114,2026-08-24,2026-08-24,CVE-2025-33084,5.9,2026-06-17T09:13:06.740
CVE-2025-33083,0.001770000,0.072990000,0.2833333333333333,2026-08-24,2026-08-24,CVE-2025-33083,5.4,2026-06-17T09:13:06.637
CVE-2025-33082,0.001770000,0.072980000,0.2833333333333333,2026-08-24,2026-08-24,CVE-2025-33082,5.4,2026-06-17T09:13:06.527
CVE-2025-2412,0.003490000,0.274620000,0.6710648148148148,2026-08-24,2026-08-24,CVE-2025-2412,8.6,2026-06-17T09:06:58.703
CVE-2025-20708,0.003440000,0.268820000,0.6631944444444444,2026-08-24,2026-08-24,CVE-2025-20708,8.8,2026-06-17T08:41:53.183
CVE-2025-20707,0.000950000,0.007210000,0.02962962962962963,2026-08-24,2026-08-24,CVE-2025-20707,6.7,2026-06-17T08:41:53.050
CVE-2025-20706,0.000920000,0.005760000,0.026851851851851852,2026-08-24,2026-08-24,CVE-2025-20706,7.8,2026-06-17T08:41:52.913
CVE-2025-20705,0.000920000,0.005760000,0.026851851851851852,2026-08-24,2026-08-24,CVE-2025-20705,7.8,2026-06-17T08:41:52.763
CVE-2025-20704,0.003050000,0.225680000,0.6023148148148149,2026-08-24,2026-08-24,CVE-2025-20704,8.0,2026-06-17T08:41:52.623
CVE-2025-20703,0.003040000,0.224160000,0.6002314814814815,2026-08-24,2026-08-24,CVE-2025-20703,6.5,2026-06-17T08:41:52.463
CVE-2025-0656,0.002120000,0.112890000,0.38263888888888886,2026-08-24,2026-08-24,CVE-2025-0656,6.1,2026-06-17T08:26:54.643
CVE-2025-0610,0.001700000,0.064410000,0.2564814814814815,2026-08-24,2026-08-24,CVE-2025-0610,8.6,2026-06-17T08:26:48.277
CVE-2024-28988,0.393510000,0.984900000,0.9976851851851852,2026-08-24,2026-08-24,CVE-2024-28988,9.8,2026-06-17T07:22:12.680
CVE-2024-12925,0.001530000,0.046350000,0.15601851851851853,2026-08-24,2026-08-24,CVE-2024-12925,7.3,2026-06-17T07:00:46.453
CVE-2024-12924,0.001870000,0.083360000,0.3050925925925926,2026-08-24,2026-08-24,CVE-2024-12924,6.3,2026-06-17T07:00:46.353
CVE-2024-12914,0.001910000,0.087710000,0.3141203703703704,2026-08-24,2026-08-24,CVE-2024-12914,4.3,2026-06-17T07:00:45.277
CVE-2022-38696,0.008000000,0.537920000,0.924537037037037,2026-08-24,2026-08-24,CVE-2022-38696,9.8,2026-06-17T04:57:02.440
CVE-2022-38695,0.001990000,0.096910000,0.3298611111111111,2026-08-24,2026-08-24,CVE-2022-38695,7.8,2026-06-17T04:57:02.310
CVE-2022-38694,0.005860000,0.453770000,0.88125,2026-08-24,2026-08-24,CVE-2022-38694,7.8,2026-06-17T04:57:02.183
CVE-2022-38693,0.008000000,0.537920000,0.924537037037037,2026-08-24,2026-08-24,CVE-2022-38693,9.8,2026-06-17T04:57:02.057
CVE-2022-38692,0.004570000,0.376840000,0.8173611111111111,2026-08-24,2026-08-24,CVE-2022-38692,9.8,2026-06-17T04:57:01.927
CVE-2022-38691,0.003390000,0.263320000,0.6546296296296297,2026-08-24,2026-08-24,CVE-2022-38691,7.8,2026-06-17T04:57:01.790
