cve,epss,percentile,percentile_subset,timestamp,date
CVE-2025-9815,0.000780000,0.236710000,0.8366874855424474,2025-11-14,2025-11-14
CVE-2025-9814,0.000370000,0.106520000,0.4351145038167939,2025-11-14,2025-11-14
CVE-2025-9813,0.001090000,0.298530000,0.8815637288919732,2025-11-14,2025-11-14
CVE-2025-9812,0.001090000,0.298530000,0.8815637288919732,2025-11-14,2025-11-14
CVE-2025-9811,0.000370000,0.106520000,0.4351145038167939,2025-11-14,2025-11-14
CVE-2025-9810,0.000160000,0.025180000,0.08119361554476058,2025-11-14,2025-11-14
CVE-2025-9809,0.000940000,0.270230000,0.8625954198473282,2025-11-14,2025-11-14
CVE-2025-9806,0.000140000,0.019170000,0.05227851029377747,2025-11-14,2025-11-14
CVE-2025-9805,0.000640000,0.199980000,0.7938931297709924,2025-11-14,2025-11-14
CVE-2025-9802,0.000380000,0.111630000,0.47883414295628035,2025-11-14,2025-11-14
CVE-2025-9801,0.001030000,0.289800000,0.8755493869997687,2025-11-14,2025-11-14
CVE-2025-9800,0.000640000,0.199980000,0.7938931297709924,2025-11-14,2025-11-14
CVE-2025-9799,0.000540000,0.168920000,0.7342123525329632,2025-11-14,2025-11-14
CVE-2025-9797,0.000400000,0.119540000,0.5491556789266713,2025-11-14,2025-11-14
CVE-2025-9796,0.000450000,0.135260000,0.6134628730048577,2025-11-14,2025-11-14
CVE-2025-9795,0.000300000,0.077590000,0.2819801064075873,2025-11-14,2025-11-14
CVE-2025-9794,0.000550000,0.172900000,0.7434651862132778,2025-11-14,2025-11-14
CVE-2025-9793,0.000370000,0.106520000,0.4351145038167939,2025-11-14,2025-11-14
CVE-2025-9792,0.000370000,0.106520000,0.4351145038167939,2025-11-14,2025-11-14
CVE-2025-9791,0.001120000,0.303890000,0.8843395789960675,2025-11-14,2025-11-14
CVE-2025-9790,0.000390000,0.113100000,0.4906315058986815,2025-11-14,2025-11-14
CVE-2025-9789,0.000510000,0.156960000,0.7120055517002082,2025-11-14,2025-11-14
CVE-2025-9788,0.000370000,0.106520000,0.4351145038167939,2025-11-14,2025-11-14
CVE-2025-9786,0.000370000,0.106520000,0.4351145038167939,2025-11-14,2025-11-14
CVE-2025-9783,0.001670000,0.382870000,0.9134860050890585,2025-11-14,2025-11-14
CVE-2025-9782,0.001670000,0.382870000,0.9134860050890585,2025-11-14,2025-11-14
CVE-2025-9781,0.001670000,0.382870000,0.9134860050890585,2025-11-14,2025-11-14
CVE-2025-9780,0.001670000,0.382870000,0.9134860050890585,2025-11-14,2025-11-14
CVE-2025-9779,0.001670000,0.382870000,0.9134860050890585,2025-11-14,2025-11-14
CVE-2025-9778,0.000140000,0.018810000,0.05227851029377747,2025-11-14,2025-11-14
CVE-2025-9775,0.000620000,0.195140000,0.7869535045107564,2025-11-14,2025-11-14
CVE-2025-9774,0.000340000,0.090580000,0.33055748322923895,2025-11-14,2025-11-14
CVE-2025-9773,0.000470000,0.143510000,0.6479296784640296,2025-11-14,2025-11-14
CVE-2025-9772,0.000620000,0.195140000,0.7869535045107564,2025-11-14,2025-11-14
CVE-2025-9771,0.000370000,0.106520000,0.4351145038167939,2025-11-14,2025-11-14
CVE-2025-9770,0.000400000,0.118090000,0.5491556789266713,2025-11-14,2025-11-14
CVE-2025-9769,0.000510000,0.158520000,0.7120055517002082,2025-11-14,2025-11-14
CVE-2025-9768,0.000370000,0.107930000,0.4351145038167939,2025-11-14,2025-11-14
CVE-2025-9767,0.000390000,0.113100000,0.4906315058986815,2025-11-14,2025-11-14
CVE-2025-9766,0.000390000,0.113100000,0.4906315058986815,2025-11-14,2025-11-14
CVE-2025-9765,0.000390000,0.113100000,0.4906315058986815,2025-11-14,2025-11-14
CVE-2025-9764,0.000390000,0.113100000,0.4906315058986815,2025-11-14,2025-11-14
CVE-2025-9763,0.000390000,0.113100000,0.4906315058986815,2025-11-14,2025-11-14
CVE-2025-9761,0.000390000,0.113100000,0.4906315058986815,2025-11-14,2025-11-14
CVE-2025-9760,0.000640000,0.199480000,0.7938931297709924,2025-11-14,2025-11-14
CVE-2025-9759,0.000390000,0.113100000,0.4906315058986815,2025-11-14,2025-11-14
CVE-2025-9758,0.000370000,0.107930000,0.4351145038167939,2025-11-14,2025-11-14
CVE-2025-9757,0.000390000,0.113100000,0.4906315058986815,2025-11-14,2025-11-14
CVE-2025-9756,0.000370000,0.107930000,0.4351145038167939,2025-11-14,2025-11-14
CVE-2025-9755,0.000470000,0.143510000,0.6479296784640296,2025-11-14,2025-11-14
CVE-2025-9754,0.000370000,0.105000000,0.4351145038167939,2025-11-14,2025-11-14
CVE-2025-9753,0.000440000,0.131670000,0.6035160767985196,2025-11-14,2025-11-14
CVE-2025-9752,0.004010000,0.600400000,0.962294702752718,2025-11-14,2025-11-14
CVE-2025-9751,0.000390000,0.113100000,0.4906315058986815,2025-11-14,2025-11-14
CVE-2025-9570,0.000700000,0.218940000,0.8170252139717789,2025-11-14,2025-11-14
CVE-2025-9569,0.000590000,0.184390000,0.7682165163081194,2025-11-14,2025-11-14
CVE-2025-9568,0.000590000,0.184390000,0.7682165163081194,2025-11-14,2025-11-14
CVE-2025-9567,0.000590000,0.184390000,0.7682165163081194,2025-11-14,2025-11-14
CVE-2025-9375,0.000840000,0.251890000,0.8459403192227619,2025-11-14,2025-11-14
CVE-2025-8662,0.000930000,0.267910000,0.8605135322692574,2025-11-14,2025-11-14
CVE-2025-7731,0.000180000,0.033580000,0.114735137635901,2025-11-14,2025-11-14
CVE-2025-7405,0.001860000,0.406420000,0.922970159611381,2025-11-14,2025-11-14
CVE-2025-6507,0.001090000,0.298480000,0.8815637288919732,2025-11-14,2025-11-14
CVE-2025-58318,0.000260000,0.060360000,0.22600046264168402,2025-11-14,2025-11-14
CVE-2025-58178,0.000480000,0.148730000,0.6784640296090678,2025-11-14,2025-11-14
CVE-2025-58162,0.001130000,0.306530000,0.8850335415220911,2025-11-14,2025-11-14
CVE-2025-58161,0.001570000,0.371530000,0.9104788341429563,2025-11-14,2025-11-14
CVE-2025-57808,0.050120000,0.892250000,0.9925977330557483,2025-11-14,2025-11-14
CVE-2025-57799,0.014420000,0.801280000,0.9851954661114967,2025-11-14,2025-11-14
CVE-2025-55007,0.000380000,0.109690000,0.47883414295628035,2025-11-14,2025-11-14
CVE-2025-54857,0.008350000,0.739030000,0.9796437659033079,2025-11-14,2025-11-14
CVE-2025-44017,0.000410000,0.120360000,0.5648854961832062,2025-11-14,2025-11-14
CVE-2025-41690,0.000360000,0.100150000,0.40018505667360627,2025-11-14,2025-11-14
CVE-2025-41030,0.000990000,0.282850000,0.8704603284755956,2025-11-14,2025-11-14
CVE-2025-36133,0.000170000,0.029330000,0.09021512838306732,2025-11-14,2025-11-14
CVE-2025-3586,0.005060000,0.654110000,0.9701596113809854,2025-11-14,2025-11-14
CVE-2025-33102,0.000180000,0.035960000,0.114735137635901,2025-11-14,2025-11-14
CVE-2025-33099,0.000280000,0.068920000,0.2748091603053435,2025-11-14,2025-11-14
CVE-2025-33084,0.000200000,0.042030000,0.13601665510062458,2025-11-14,2025-11-14
CVE-2025-33083,0.000360000,0.103860000,0.40018505667360627,2025-11-14,2025-11-14
CVE-2025-33082,0.000360000,0.103860000,0.40018505667360627,2025-11-14,2025-11-14
