cve,epss,percentile,percentile_subset,timestamp,date
CVE-2025-9815,0.000780000,0.193670000,0.8315984270182744,2025-11-19,2025-11-19
CVE-2025-9814,0.000370000,0.065960000,0.416146194772149,2025-11-19,2025-11-19
CVE-2025-9813,0.001090000,0.248970000,0.8804071246819338,2025-11-19,2025-11-19
CVE-2025-9812,0.001090000,0.248970000,0.8804071246819338,2025-11-19,2025-11-19
CVE-2025-9811,0.000370000,0.065960000,0.416146194772149,2025-11-19,2025-11-19
CVE-2025-9810,0.000160000,0.016080000,0.07240342354846172,2025-11-19,2025-11-19
CVE-2025-9809,0.000940000,0.226570000,0.8607448531112654,2025-11-19,2025-11-19
CVE-2025-9806,0.000140000,0.011770000,0.04904001850566736,2025-11-19,2025-11-19
CVE-2025-9805,0.000640000,0.157210000,0.7869535045107564,2025-11-19,2025-11-19
CVE-2025-9802,0.000380000,0.069170000,0.45708998380754107,2025-11-19,2025-11-19
CVE-2025-9801,0.001130000,0.254440000,0.8845708998380755,2025-11-19,2025-11-19
CVE-2025-9800,0.000510000,0.111920000,0.6972010178117048,2025-11-19,2025-11-19
CVE-2025-9799,0.000540000,0.122880000,0.7170946102243813,2025-11-19,2025-11-19
CVE-2025-9797,0.000400000,0.075850000,0.5297247281980106,2025-11-19,2025-11-19
CVE-2025-9796,0.000410000,0.078230000,0.5442979412445061,2025-11-19,2025-11-19
CVE-2025-9795,0.000290000,0.043620000,0.2715706685172334,2025-11-19,2025-11-19
CVE-2025-9794,0.000550000,0.127460000,0.7254221605366643,2025-11-19,2025-11-19
CVE-2025-9793,0.000370000,0.065960000,0.416146194772149,2025-11-19,2025-11-19
CVE-2025-9792,0.000370000,0.065960000,0.416146194772149,2025-11-19,2025-11-19
CVE-2025-9791,0.001120000,0.252840000,0.8834142956280361,2025-11-19,2025-11-19
CVE-2025-9790,0.000390000,0.070510000,0.46703678001387927,2025-11-19,2025-11-19
CVE-2025-9789,0.000510000,0.111590000,0.6972010178117048,2025-11-19,2025-11-19
CVE-2025-9788,0.000370000,0.065960000,0.416146194772149,2025-11-19,2025-11-19
CVE-2025-9786,0.000370000,0.065960000,0.416146194772149,2025-11-19,2025-11-19
CVE-2025-9783,0.001670000,0.324660000,0.9100161924589405,2025-11-19,2025-11-19
CVE-2025-9782,0.001670000,0.324660000,0.9100161924589405,2025-11-19,2025-11-19
CVE-2025-9781,0.001670000,0.324660000,0.9100161924589405,2025-11-19,2025-11-19
CVE-2025-9780,0.001670000,0.324660000,0.9100161924589405,2025-11-19,2025-11-19
CVE-2025-9779,0.001670000,0.324660000,0.9100161924589405,2025-11-19,2025-11-19
CVE-2025-9778,0.000140000,0.011610000,0.04904001850566736,2025-11-19,2025-11-19
CVE-2025-9775,0.000620000,0.151390000,0.7765440666204025,2025-11-19,2025-11-19
CVE-2025-9774,0.000340000,0.054510000,0.31274577839463336,2025-11-19,2025-11-19
CVE-2025-9773,0.000470000,0.097560000,0.6354383529956049,2025-11-19,2025-11-19
CVE-2025-9772,0.000620000,0.151390000,0.7765440666204025,2025-11-19,2025-11-19
CVE-2025-9771,0.000370000,0.065960000,0.416146194772149,2025-11-19,2025-11-19
CVE-2025-9770,0.000400000,0.074850000,0.5297247281980106,2025-11-19,2025-11-19
CVE-2025-9769,0.000510000,0.112780000,0.6972010178117048,2025-11-19,2025-11-19
CVE-2025-9768,0.000370000,0.067060000,0.416146194772149,2025-11-19,2025-11-19
CVE-2025-9767,0.000390000,0.070510000,0.46703678001387927,2025-11-19,2025-11-19
CVE-2025-9766,0.000390000,0.070510000,0.46703678001387927,2025-11-19,2025-11-19
CVE-2025-9765,0.000390000,0.070510000,0.46703678001387927,2025-11-19,2025-11-19
CVE-2025-9764,0.000390000,0.070510000,0.46703678001387927,2025-11-19,2025-11-19
CVE-2025-9763,0.000390000,0.070510000,0.46703678001387927,2025-11-19,2025-11-19
CVE-2025-9761,0.000390000,0.070510000,0.46703678001387927,2025-11-19,2025-11-19
CVE-2025-9760,0.000640000,0.155690000,0.7869535045107564,2025-11-19,2025-11-19
CVE-2025-9759,0.000390000,0.070510000,0.46703678001387927,2025-11-19,2025-11-19
CVE-2025-9758,0.000370000,0.067060000,0.416146194772149,2025-11-19,2025-11-19
CVE-2025-9757,0.000390000,0.070510000,0.46703678001387927,2025-11-19,2025-11-19
CVE-2025-9756,0.000370000,0.067060000,0.416146194772149,2025-11-19,2025-11-19
CVE-2025-9755,0.000470000,0.097560000,0.6354383529956049,2025-11-19,2025-11-19
CVE-2025-9754,0.000370000,0.064670000,0.416146194772149,2025-11-19,2025-11-19
CVE-2025-9753,0.000440000,0.086240000,0.5898681471200555,2025-11-19,2025-11-19
CVE-2025-9752,0.004010000,0.580000000,0.9576682859125607,2025-11-19,2025-11-19
CVE-2025-9751,0.000390000,0.070510000,0.46703678001387927,2025-11-19,2025-11-19
CVE-2025-9570,0.000700000,0.175960000,0.8096229470275271,2025-11-19,2025-11-19
CVE-2025-9569,0.000590000,0.139770000,0.7589636826278048,2025-11-19,2025-11-19
CVE-2025-9568,0.000590000,0.139770000,0.7589636826278048,2025-11-19,2025-11-19
CVE-2025-9567,0.000590000,0.139770000,0.7589636826278048,2025-11-19,2025-11-19
CVE-2025-9375,0.000840000,0.206090000,0.8427018274346518,2025-11-19,2025-11-19
CVE-2025-8662,0.000930000,0.224340000,0.8598195697432338,2025-11-19,2025-11-19
CVE-2025-7731,0.000180000,0.022220000,0.10594494563960213,2025-11-19,2025-11-19
CVE-2025-7405,0.001860000,0.356210000,0.9169558177191764,2025-11-19,2025-11-19
CVE-2025-6507,0.001080000,0.247310000,0.8776312745778395,2025-11-19,2025-11-19
CVE-2025-58318,0.000260000,0.036720000,0.21882951653944022,2025-11-19,2025-11-19
CVE-2025-58178,0.000480000,0.102830000,0.6613462873004857,2025-11-19,2025-11-19
CVE-2025-58162,0.001130000,0.254620000,0.8845708998380755,2025-11-19,2025-11-19
CVE-2025-58161,0.002140000,0.399550000,0.9234328012953967,2025-11-19,2025-11-19
CVE-2025-57808,0.064860000,0.901610000,0.9923664122137404,2025-11-19,2025-11-19
CVE-2025-57799,0.018510000,0.815300000,0.9861207494795281,2025-11-19,2025-11-19
CVE-2025-55007,0.000380000,0.068450000,0.45708998380754107,2025-11-19,2025-11-19
CVE-2025-54857,0.008560000,0.729740000,0.9768679157992135,2025-11-19,2025-11-19
CVE-2025-44017,0.000410000,0.076450000,0.5442979412445061,2025-11-19,2025-11-19
CVE-2025-41690,0.000360000,0.060940000,0.37797825584085126,2025-11-19,2025-11-19
CVE-2025-41030,0.000990000,0.237220000,0.8688410825815406,2025-11-19,2025-11-19
CVE-2025-36133,0.000170000,0.019040000,0.0830441822808235,2025-11-19,2025-11-19
