cve,epss,percentile,percentile_subset,timestamp,date,cve.id,cvss_baseScore,cve.lastModified
CVE-2025-9815,0.002680000,0.188280000,0.569675925925926,2026-07-29,2026-07-29,CVE-2025-9815,7.8,2026-06-17T10:09:49.767
CVE-2025-9814,0.003840000,0.310910000,0.7543981481481481,2026-07-29,2026-07-29,CVE-2025-9814,9.8,2026-06-17T10:09:49.630
CVE-2025-9813,0.007850000,0.523940000,0.9284722222222223,2026-07-29,2026-07-29,CVE-2025-9813,8.8,2026-06-17T10:09:49.497
CVE-2025-9812,0.005950000,0.449750000,0.8914351851851852,2026-07-29,2026-07-29,CVE-2025-9812,8.8,2026-06-17T10:09:49.360
CVE-2025-9811,0.003840000,0.310930000,0.7543981481481481,2026-07-29,2026-07-29,CVE-2025-9811,9.8,2026-06-17T10:09:49.223
CVE-2025-9810,0.000990000,0.009360000,0.03819444444444445,2026-07-29,2026-07-29,CVE-2025-9810,5.8,2026-06-17T10:09:49.110
CVE-2025-9809,0.003950000,0.322520000,0.7803240740740741,2026-07-29,2026-07-29,CVE-2025-9809,9.8,2026-06-17T10:09:48.990
CVE-2025-9806,0.001450000,0.041810000,0.17476851851851852,2026-07-29,2026-07-29,CVE-2025-9806,6.4,2026-06-17T10:09:48.633
CVE-2025-9805,0.002610000,0.178140000,0.5574074074074075,2026-07-29,2026-07-29,CVE-2025-9805,7.5,2026-06-17T10:09:48.483
CVE-2025-9802,0.002400000,0.152240000,0.5108796296296296,2026-07-29,2026-07-29,CVE-2025-9802,4.7,2026-06-17T10:09:47.957
CVE-2025-9801,0.006600000,0.479000000,0.9064814814814814,2026-07-29,2026-07-29,CVE-2025-9801,8.1,2026-06-17T10:09:47.813
CVE-2025-9800,0.002850000,0.207500000,0.5986111111111111,2026-07-29,2026-07-29,CVE-2025-9800,6.1,2026-06-17T10:09:47.667
CVE-2025-9799,0.002570000,0.173110000,0.5458333333333333,2026-07-29,2026-07-29,CVE-2025-9799,5.0,2026-06-17T10:09:47.503
CVE-2025-9797,0.002460000,0.159850000,0.5226851851851851,2026-07-29,2026-07-29,CVE-2025-9797,2.4,2026-06-17T10:09:47.270
CVE-2025-9796,0.003280000,0.252590000,0.675,2026-07-29,2026-07-29,CVE-2025-9796,4.1,2026-06-17T10:09:47.123
CVE-2025-9795,0.002060000,0.108810000,0.4111111111111111,2026-07-29,2026-07-29,CVE-2025-9795,5.4,2026-06-17T10:09:46.990
CVE-2025-9794,0.003870000,0.314350000,0.7638888888888888,2026-07-29,2026-07-29,CVE-2025-9794,9.8,2026-06-17T10:09:46.850
CVE-2025-9793,0.003840000,0.310860000,0.7543981481481481,2026-07-29,2026-07-29,CVE-2025-9793,9.8,2026-06-17T10:09:46.710
CVE-2025-9792,0.003840000,0.310860000,0.7543981481481481,2026-07-29,2026-07-29,CVE-2025-9792,9.8,2026-06-17T10:09:46.573
CVE-2025-9791,0.007700000,0.519400000,0.9261574074074074,2026-07-29,2026-07-29,CVE-2025-9791,9.8,2026-06-17T10:09:46.433
CVE-2025-9790,0.004410000,0.361340000,0.8206018518518519,2026-07-29,2026-07-29,CVE-2025-9790,9.8,2026-06-17T10:09:46.297
CVE-2025-9789,0.004410000,0.361390000,0.8206018518518519,2026-07-29,2026-07-29,CVE-2025-9789,9.8,2026-06-17T10:09:46.150
CVE-2025-9788,0.003840000,0.310860000,0.7543981481481481,2026-07-29,2026-07-29,CVE-2025-9788,9.8,2026-06-17T10:09:46.013
CVE-2025-9786,0.003840000,0.310910000,0.7543981481481481,2026-07-29,2026-07-29,CVE-2025-9786,9.8,2026-06-17T10:09:45.767
CVE-2025-9783,0.005980000,0.451280000,0.8923611111111112,2026-07-29,2026-07-29,CVE-2025-9783,8.8,2026-06-17T10:09:45.080
CVE-2025-9782,0.005980000,0.451280000,0.8923611111111112,2026-07-29,2026-07-29,CVE-2025-9782,8.8,2026-06-17T10:09:44.940
CVE-2025-9781,0.005980000,0.451280000,0.8923611111111112,2026-07-29,2026-07-29,CVE-2025-9781,8.8,2026-06-17T10:09:44.807
CVE-2025-9780,0.005980000,0.451270000,0.8923611111111112,2026-07-29,2026-07-29,CVE-2025-9780,8.8,2026-06-17T10:09:44.670
CVE-2025-9779,0.005980000,0.451270000,0.8923611111111112,2026-07-29,2026-07-29,CVE-2025-9779,8.8,2026-06-17T10:09:44.533
CVE-2025-9778,0.001300000,0.030280000,0.09699074074074074,2026-07-29,2026-07-29,CVE-2025-9778,7.0,2026-06-17T10:09:44.387
CVE-2025-9775,0.004900000,0.393840000,0.856712962962963,2026-07-29,2026-07-29,CVE-2025-9775,9.8,2026-06-17T10:09:44.147
CVE-2025-9774,0.003580000,0.284260000,0.7201388888888889,2026-07-29,2026-07-29,CVE-2025-9774,4.3,2026-06-17T10:09:44.013
CVE-2025-9773,0.003640000,0.290470000,0.7268518518518519,2026-07-29,2026-07-29,CVE-2025-9773,6.1,2026-06-17T10:09:43.877
CVE-2025-9772,0.004900000,0.393830000,0.856712962962963,2026-07-29,2026-07-29,CVE-2025-9772,9.8,2026-06-17T10:09:43.737
CVE-2025-9771,0.003870000,0.314210000,0.7638888888888888,2026-07-29,2026-07-29,CVE-2025-9771,9.8,2026-06-17T10:09:43.600
CVE-2025-9770,0.004370000,0.358470000,0.8175925925925925,2026-07-29,2026-07-29,CVE-2025-9770,9.8,2026-06-17T10:09:43.467
CVE-2025-9769,0.258750000,0.977650000,0.9967592592592592,2026-07-29,2026-07-29,CVE-2025-9769,6.2,2026-06-17T10:09:43.330
CVE-2025-9768,0.004030000,0.329830000,0.788425925925926,2026-07-29,2026-07-29,CVE-2025-9768,9.8,2026-06-17T10:09:43.187
CVE-2025-9767,0.004830000,0.389930000,0.8530092592592593,2026-07-29,2026-07-29,CVE-2025-9767,9.8,2026-06-17T10:09:43.050
