cve,epss,percentile,percentile_subset,timestamp,date,cve.id,cvss_baseScore,cve.lastModified
CVE-2025-9815,0.000780000,0.235110000,0.8273947246645071,2025-12-16,2025-12-16,CVE-2025-9815,7.8,2025-09-04T16:13:28.567
CVE-2025-9814,0.000370000,0.107380000,0.36742248958815366,2025-12-16,2025-12-16,CVE-2025-9814,9.8,2025-09-03T15:46:35.893
CVE-2025-9813,0.001090000,0.299090000,0.8773715872281351,2025-12-16,2025-12-16,CVE-2025-9813,8.8,2025-09-04T17:48:17.693
CVE-2025-9812,0.001090000,0.299090000,0.8773715872281351,2025-12-16,2025-12-16,CVE-2025-9812,8.8,2025-09-04T17:01:04.197
CVE-2025-9811,0.000370000,0.107380000,0.36742248958815366,2025-12-16,2025-12-16,CVE-2025-9811,9.8,2025-09-03T15:46:46.483
CVE-2025-9810,0.000160000,0.026210000,0.06293382693197594,2025-12-16,2025-12-16,CVE-2025-9810,5.8,2025-12-08T15:27:15.590
CVE-2025-9809,0.003970000,0.598230000,0.9585839888940305,2025-12-16,2025-12-16,CVE-2025-9809,9.8,2025-12-08T15:18:11.893
CVE-2025-9806,0.000140000,0.020280000,0.04835724201758445,2025-12-16,2025-12-16,CVE-2025-9806,6.4,2025-10-21T13:42:28.893
CVE-2025-9805,0.000670000,0.209180000,0.7933826931975937,2025-12-16,2025-12-16,CVE-2025-9805,7.5,2025-11-14T20:34:38.053
CVE-2025-9802,0.000380000,0.112630000,0.4012031466913466,2025-12-16,2025-12-16,CVE-2025-9802,4.7,2025-09-02T15:55:25.420
CVE-2025-9801,0.001170000,0.312720000,0.8875520592318371,2025-12-16,2025-12-16,CVE-2025-9801,8.1,2025-11-14T20:36:09.667
CVE-2025-9800,0.000550000,0.172610000,0.7142526608051828,2025-12-16,2025-12-16,CVE-2025-9800,6.1,2025-11-14T20:37:54.983
CVE-2025-9799,0.000430000,0.132380000,0.5279962980101804,2025-12-16,2025-12-16,CVE-2025-9799,5.0,2025-12-02T19:04:22.443
CVE-2025-9797,0.000400000,0.120750000,0.4701527070800555,2025-12-16,2025-12-16,CVE-2025-9797,2.4,2025-09-02T15:55:25.420
CVE-2025-9796,0.000450000,0.136920000,0.561082832022212,2025-12-16,2025-12-16,CVE-2025-9796,4.1,2025-09-04T16:54:57.613
CVE-2025-9795,0.000300000,0.081130000,0.3216103655714947,2025-12-16,2025-12-16,CVE-2025-9795,5.4,2025-09-04T16:53:20.223
CVE-2025-9794,0.000550000,0.173460000,0.7142526608051828,2025-12-16,2025-12-16,CVE-2025-9794,9.8,2025-09-03T15:53:51.967
CVE-2025-9793,0.000370000,0.107380000,0.36742248958815366,2025-12-16,2025-12-16,CVE-2025-9793,9.8,2025-09-03T15:54:00.297
CVE-2025-9792,0.000370000,0.107380000,0.36742248958815366,2025-12-16,2025-12-16,CVE-2025-9792,9.8,2025-09-03T15:54:07.633
CVE-2025-9791,0.001120000,0.304400000,0.8808422026839426,2025-12-16,2025-12-16,CVE-2025-9791,9.8,2025-09-04T16:20:55.250
CVE-2025-9790,0.000390000,0.114110000,0.4097639981490051,2025-12-16,2025-12-16,CVE-2025-9790,9.8,2025-10-23T20:06:00.793
CVE-2025-9789,0.000510000,0.157970000,0.6850994909763998,2025-12-16,2025-12-16,CVE-2025-9789,9.8,2025-11-13T15:27:28.533
CVE-2025-9788,0.000370000,0.107380000,0.36742248958815366,2025-12-16,2025-12-16,CVE-2025-9788,9.8,2025-09-03T15:56:21.750
CVE-2025-9786,0.000370000,0.107380000,0.36742248958815366,2025-12-16,2025-12-16,CVE-2025-9786,9.8,2025-09-03T15:56:35.567
CVE-2025-9783,0.001670000,0.382700000,0.9099953725127256,2025-12-16,2025-12-16,CVE-2025-9783,8.8,2025-09-04T16:52:53.580
CVE-2025-9782,0.001670000,0.382700000,0.9099953725127256,2025-12-16,2025-12-16,CVE-2025-9782,8.8,2025-09-04T16:42:23.857
CVE-2025-9781,0.001670000,0.382700000,0.9099953725127256,2025-12-16,2025-12-16,CVE-2025-9781,8.8,2025-09-04T16:42:38.633
CVE-2025-9780,0.001670000,0.382700000,0.9099953725127256,2025-12-16,2025-12-16,CVE-2025-9780,8.8,2025-09-04T16:42:51.847
CVE-2025-9779,0.001670000,0.382700000,0.9099953725127256,2025-12-16,2025-12-16,CVE-2025-9779,8.8,2025-09-04T16:42:59.583
CVE-2025-9778,0.000140000,0.019890000,0.04835724201758445,2025-12-16,2025-12-16,CVE-2025-9778,7.0,2025-09-04T16:19:21.700
CVE-2025-9775,0.000620000,0.195470000,0.7639981490050902,2025-12-16,2025-12-16,CVE-2025-9775,9.8,2025-09-04T16:00:55.390
CVE-2025-9774,0.000340000,0.093780000,0.3322535863026377,2025-12-16,2025-12-16,CVE-2025-9774,4.3,2025-09-04T16:16:03.660
CVE-2025-9773,0.000470000,0.145490000,0.6291068949560389,2025-12-16,2025-12-16,CVE-2025-9773,6.1,2025-09-04T16:16:38.873
CVE-2025-9772,0.000620000,0.195470000,0.7639981490050902,2025-12-16,2025-12-16,CVE-2025-9772,9.8,2025-09-04T16:17:45.597
CVE-2025-9771,0.000370000,0.107380000,0.36742248958815366,2025-12-16,2025-12-16,CVE-2025-9771,9.8,2025-09-03T16:05:59.463
CVE-2025-9770,0.000400000,0.119290000,0.4701527070800555,2025-12-16,2025-12-16,CVE-2025-9770,9.8,2025-09-04T16:43:11.837
CVE-2025-9769,0.000510000,0.159370000,0.6850994909763998,2025-12-16,2025-12-16,CVE-2025-9769,6.2,2025-09-04T16:43:56.927
CVE-2025-9768,0.000370000,0.109070000,0.36742248958815366,2025-12-16,2025-12-16,CVE-2025-9768,9.8,2025-09-04T16:44:09.123
CVE-2025-9767,0.000390000,0.114110000,0.4097639981490051,2025-12-16,2025-12-16,CVE-2025-9767,9.8,2025-09-05T17:58:21.963
CVE-2025-9766,0.000390000,0.114110000,0.4097639981490051,2025-12-16,2025-12-16,CVE-2025-9766,9.8,2025-09-08T13:50:02.277
CVE-2025-9765,0.000390000,0.114110000,0.4097639981490051,2025-12-16,2025-12-16,CVE-2025-9765,9.8,2025-09-08T13:28:16.387
CVE-2025-9764,0.000390000,0.114110000,0.4097639981490051,2025-12-16,2025-12-16,CVE-2025-9764,9.8,2025-09-08T13:33:13.147
CVE-2025-9763,0.000390000,0.114110000,0.4097639981490051,2025-12-16,2025-12-16,CVE-2025-9763,9.8,2025-09-08T13:40:09.430
CVE-2025-9761,0.000390000,0.114110000,0.4097639981490051,2025-12-16,2025-12-16,CVE-2025-9761,9.8,2025-09-08T13:45:56.043
CVE-2025-9760,0.000640000,0.199540000,0.7783433595557612,2025-12-16,2025-12-16,CVE-2025-9760,8.8,2025-09-27T00:28:31.297
CVE-2025-9759,0.000390000,0.114110000,0.4097639981490051,2025-12-16,2025-12-16,CVE-2025-9759,9.8,2025-09-08T13:53:29.567
CVE-2025-9758,0.000370000,0.109070000,0.36742248958815366,2025-12-16,2025-12-16,CVE-2025-9758,9.8,2025-09-11T21:16:26.307
CVE-2025-9757,0.000390000,0.114110000,0.4097639981490051,2025-12-16,2025-12-16,CVE-2025-9757,9.8,2025-09-08T13:54:13.633
CVE-2025-9756,0.000370000,0.109070000,0.36742248958815366,2025-12-16,2025-12-16,CVE-2025-9756,8.8,2025-09-08T14:02:39.200
CVE-2025-9755,0.000470000,0.145490000,0.6291068949560389,2025-12-16,2025-12-16,CVE-2025-9755,6.1,2025-09-05T19:54:52.480
