cve,epss,percentile,percentile_subset,timestamp,date,cve.id,cvss_baseScore,cve.lastModified
CVE-2025-9815,0.000550000,0.175970000,0.5965277777777778,2026-06-04,2026-06-04,CVE-2025-9815,7.8,2026-04-29T01:00:01.613
CVE-2025-9814,0.000690000,0.213180000,0.6981481481481482,2026-06-04,2026-06-04,CVE-2025-9814,9.8,2026-04-29T01:00:01.613
CVE-2025-9813,0.004640000,0.646580000,0.9444444444444444,2026-06-04,2026-06-04,CVE-2025-9813,8.8,2025-09-04T17:48:17.693
CVE-2025-9812,0.003720000,0.592670000,0.9337962962962963,2026-06-04,2026-06-04,CVE-2025-9812,8.8,2025-09-04T17:01:04.197
CVE-2025-9811,0.000690000,0.213180000,0.6981481481481482,2026-06-04,2026-06-04,CVE-2025-9811,9.8,2026-04-29T01:00:01.613
CVE-2025-9810,0.000150000,0.032300000,0.050694444444444445,2026-06-04,2026-06-04,CVE-2025-9810,5.8,2026-04-22T16:16:52.427
CVE-2025-9809,0.008160000,0.746590000,0.9629629629629629,2026-06-04,2026-06-04,CVE-2025-9809,9.8,2025-12-08T15:18:11.893
CVE-2025-9806,0.000180000,0.050470000,0.11435185185185186,2026-06-04,2026-06-04,CVE-2025-9806,6.4,2026-04-29T01:00:01.613
CVE-2025-9805,0.001020000,0.275200000,0.8060185185185185,2026-06-04,2026-06-04,CVE-2025-9805,7.5,2026-04-29T01:00:01.613
CVE-2025-9802,0.000400000,0.125760000,0.4465277777777778,2026-06-04,2026-06-04,CVE-2025-9802,4.7,2026-04-15T00:35:42.020
CVE-2025-9801,0.001760000,0.388670000,0.8777777777777778,2026-06-04,2026-06-04,CVE-2025-9801,8.1,2026-04-29T01:00:01.613
CVE-2025-9800,0.000910000,0.256860000,0.780787037037037,2026-06-04,2026-06-04,CVE-2025-9800,6.1,2026-04-29T01:00:01.613
CVE-2025-9799,0.000650000,0.204170000,0.669212962962963,2026-06-04,2026-06-04,CVE-2025-9799,5.0,2026-04-29T01:00:01.613
CVE-2025-9797,0.000530000,0.168720000,0.5833333333333334,2026-06-04,2026-06-04,CVE-2025-9797,2.4,2026-04-29T01:00:01.613
CVE-2025-9796,0.000670000,0.209510000,0.6851851851851852,2026-06-04,2026-06-04,CVE-2025-9796,4.1,2026-04-29T01:00:01.613
CVE-2025-9795,0.000500000,0.159610000,0.5659722222222222,2026-06-04,2026-06-04,CVE-2025-9795,5.4,2026-04-29T01:00:01.613
CVE-2025-9794,0.000870000,0.249820000,0.767824074074074,2026-06-04,2026-06-04,CVE-2025-9794,9.8,2026-04-29T01:00:01.613
CVE-2025-9793,0.000690000,0.213180000,0.6981481481481482,2026-06-04,2026-06-04,CVE-2025-9793,9.8,2026-04-29T01:00:01.613
CVE-2025-9792,0.000690000,0.213180000,0.6981481481481482,2026-06-04,2026-06-04,CVE-2025-9792,9.8,2026-04-29T01:00:01.613
CVE-2025-9791,0.005160000,0.670200000,0.9481481481481482,2026-06-04,2026-06-04,CVE-2025-9791,9.8,2025-09-04T16:20:55.250
