cve.id,cvss_baseScore,cve.lastModified
CVE-2025-52544,7.5,2025-10-01T18:27:30.030
CVE-2025-52545,7.5,2025-10-01T18:27:05.687
CVE-2025-52546,6.1,2025-10-01T18:26:57.600
CVE-2025-52547,7.5,2025-10-01T18:25:49.187
CVE-2025-52548,4.9,2025-10-01T18:25:16.733
CVE-2025-52549,9.8,2025-10-01T18:23:48.017
CVE-2025-52550,7.2,2025-10-01T18:20:33.640
CVE-2025-52551,,2025-09-02T15:55:25.420
CVE-2025-56254,4.3,2025-09-04T17:02:44.477
CVE-2025-57140,9.8,2025-09-04T17:46:32.590
CVE-2025-5662,9.8,2025-09-02T15:55:25.420
CVE-2025-6519,9.8,2025-10-10T14:18:29.190
CVE-2024-12974,4.3,2025-09-02T15:55:25.420
CVE-2025-0670,4.7,2025-09-02T15:55:25.420
CVE-2025-2413,8.6,2025-09-02T15:55:25.420
CVE-2025-46047,6.5,2025-09-04T17:46:45.237
CVE-2025-9784,7.5,2026-03-18T16:16:24.440
CVE-2024-48705,6.5,2025-09-04T17:47:01.483
CVE-2025-50755,6.5,2025-09-04T17:47:08.720
CVE-2025-50757,6.5,2025-09-04T17:47:15.087
CVE-2024-51423,6.1,2025-09-10T18:55:05.597
CVE-2025-54599,7.5,2025-09-10T18:48:37.770
CVE-2025-55372,5.3,2025-09-11T21:17:29.997
CVE-2025-57611,5.3,2025-09-10T18:36:58.663
CVE-2025-57612,7.5,2025-09-10T18:35:48.720
CVE-2025-57613,7.5,2025-09-10T18:33:24.547
CVE-2025-57614,7.5,2025-09-10T18:31:47.433
CVE-2025-57615,7.5,2025-09-10T18:31:27.533
CVE-2025-57616,7.5,2025-09-10T18:25:12.660
CVE-2025-55373,5.3,2025-09-11T21:19:36.443
CVE-2025-55472,6.5,2025-09-11T21:19:43.863
CVE-2025-55473,6.1,2025-09-04T15:36:56.447
CVE-2025-55474,6.1,2025-09-05T18:01:33.103
CVE-2025-9696,,2025-09-04T15:36:56.447
CVE-2025-9828,5.9,2025-10-03T15:05:39.963
CVE-2025-32098,5.3,2025-09-05T19:33:29.087
CVE-2025-32100,6.5,2025-09-05T19:09:42.710
CVE-2025-50565,6.5,2025-09-05T18:51:43.197
CVE-2025-51966,6.1,2025-09-05T18:26:30.580
CVE-2025-55476,6.5,2025-09-05T18:10:09.907
CVE-2025-55824,6.5,2025-09-05T18:06:02.743
CVE-2025-36162,4.3,2025-12-18T17:51:13.233
CVE-2025-43726,7.8,2025-11-04T15:37:09.027
CVE-2025-57774,7.8,2025-10-09T19:33:54.973
CVE-2025-57775,7.8,2025-10-09T19:55:02.193
CVE-2025-57776,7.8,2025-10-09T19:54:39.950
CVE-2025-57777,7.8,2025-10-09T19:54:18.407
CVE-2025-57778,7.8,2025-10-09T19:53:55.477
CVE-2025-9188,7.8,2025-10-09T19:53:26.143
CVE-2025-9189,7.8,2025-10-09T19:52:55.733
CVE-2025-9829,9.8,2025-09-05T18:03:25.270
CVE-2025-6685,8.8,2026-02-26T23:10:50.133
CVE-2025-7974,7.5,2026-01-27T18:39:15.560
CVE-2025-7975,7.8,2025-09-24T20:42:21.560
CVE-2025-7976,7.8,2025-09-24T20:43:08.907
CVE-2025-8298,3.8,2025-09-10T15:00:07.030
CVE-2025-8299,8.8,2025-09-10T14:59:58.543
CVE-2025-8300,8.8,2025-09-10T15:00:11.357
CVE-2025-8301,7.8,2025-09-10T15:00:04.563
CVE-2025-8302,8.8,2025-09-10T15:00:15.943
CVE-2025-8613,7.2,2025-09-04T15:36:56.447
CVE-2025-8614,7.8,2025-09-10T14:36:09.027
CVE-2025-9273,4.3,2026-01-27T16:11:55.110
CVE-2025-9274,7.8,2025-09-15T14:43:01.750
CVE-2025-9275,7.8,2025-09-15T14:43:03.917
CVE-2025-9276,9.8,2026-01-30T20:27:48.443
CVE-2025-9830,9.8,2025-09-05T18:02:42.197
CVE-2025-9323,5.5,2025-09-08T13:51:34.297
CVE-2025-9324,5.5,2025-09-08T13:52:30.743
CVE-2025-9325,5.5,2025-09-08T13:52:37.100
CVE-2025-9326,7.8,2025-09-08T13:52:16.540
CVE-2025-9327,5.5,2025-09-08T13:51:51.967
CVE-2025-9328,7.8,2025-09-08T13:52:41.887
CVE-2025-9329,7.8,2025-09-08T13:51:41.663
CVE-2025-9330,7.8,2025-09-08T13:52:46.100
CVE-2025-9831,9.8,2025-09-05T17:54:03.170
CVE-2025-9832,9.8,2025-09-05T17:50:31.347
CVE-2025-9833,9.8,2025-09-05T17:47:55.323
CVE-2025-9834,5.4,2025-09-05T17:46:46.433
CVE-2025-9835,4.3,2025-09-05T17:44:00.117
CVE-2025-9836,4.3,2025-11-26T16:29:06.563
CVE-2025-9837,9.8,2025-09-05T17:40:24.190
