cve,epss,percentile,percentile_subset,timestamp,date
CVE-2025-9815,0.000670000,0.210250000,0.8159537572254335,2025-10-28,2025-10-28
CVE-2025-9814,0.000360000,0.096210000,0.467514450867052,2025-10-28,2025-10-28
CVE-2025-9813,0.000940000,0.271250000,0.871907514450867,2025-10-28,2025-10-28
CVE-2025-9812,0.000940000,0.271250000,0.871907514450867,2025-10-28,2025-10-28
CVE-2025-9811,0.000360000,0.096210000,0.467514450867052,2025-10-28,2025-10-28
CVE-2025-9810,0.000180000,0.030870000,0.12901734104046242,2025-10-28,2025-10-28
CVE-2025-9809,0.000900000,0.264930000,0.8677456647398843,2025-10-28,2025-10-28
CVE-2025-9806,0.000140000,0.016510000,0.057109826589595375,2025-10-28,2025-10-28
CVE-2025-9805,0.000550000,0.172640000,0.7565317919075144,2025-10-28,2025-10-28
CVE-2025-9802,0.000370000,0.103040000,0.5021965317919075,2025-10-28,2025-10-28
CVE-2025-9801,0.000890000,0.262860000,0.8654335260115606,2025-10-28,2025-10-28
CVE-2025-9800,0.000550000,0.172640000,0.7565317919075144,2025-10-28,2025-10-28
CVE-2025-9799,0.000460000,0.140330000,0.6689017341040463,2025-10-28,2025-10-28
CVE-2025-9797,0.000350000,0.093810000,0.4101734104046243,2025-10-28,2025-10-28
CVE-2025-9796,0.000390000,0.110580000,0.5421965317919075,2025-10-28,2025-10-28
CVE-2025-9795,0.000260000,0.057940000,0.23352601156069364,2025-10-28,2025-10-28
CVE-2025-9794,0.000530000,0.164650000,0.7401156069364162,2025-10-28,2025-10-28
CVE-2025-9793,0.000360000,0.096210000,0.467514450867052,2025-10-28,2025-10-28
CVE-2025-9792,0.000360000,0.096210000,0.467514450867052,2025-10-28,2025-10-28
CVE-2025-9791,0.000960000,0.275690000,0.8742196531791907,2025-10-28,2025-10-28
CVE-2025-9790,0.000370000,0.104470000,0.5021965317919075,2025-10-28,2025-10-28
CVE-2025-9789,0.000480000,0.147690000,0.707514450867052,2025-10-28,2025-10-28
CVE-2025-9788,0.000360000,0.096210000,0.467514450867052,2025-10-28,2025-10-28
