cve,epss,percentile,percentile_subset,timestamp,date,cve.id,cvss_baseScore,cve.lastModified
CVE-2025-9815,0.002620000,0.181210000,0.5381944444444444,2026-08-15,2026-08-15,CVE-2025-9815,7.8,2026-06-17T10:09:49.767
CVE-2025-9814,0.004170000,0.347690000,0.7819444444444444,2026-08-15,2026-08-15,CVE-2025-9814,9.8,2026-06-17T10:09:49.630
CVE-2025-9813,0.008520000,0.551630000,0.9321759259259259,2026-08-15,2026-08-15,CVE-2025-9813,8.8,2026-06-17T10:09:49.497
CVE-2025-9812,0.006460000,0.479680000,0.899537037037037,2026-08-15,2026-08-15,CVE-2025-9812,8.8,2026-06-17T10:09:49.360
CVE-2025-9811,0.004170000,0.347710000,0.7819444444444444,2026-08-15,2026-08-15,CVE-2025-9811,9.8,2026-06-17T10:09:49.223
CVE-2025-9810,0.001060000,0.012460000,0.04027777777777778,2026-08-15,2026-08-15,CVE-2025-9810,5.8,2026-06-17T10:09:49.110
CVE-2025-9809,0.004240000,0.353760000,0.7949074074074074,2026-08-15,2026-08-15,CVE-2025-9809,9.8,2026-06-17T10:09:48.990
CVE-2025-9806,0.001570000,0.053530000,0.22939814814814816,2026-08-15,2026-08-15,CVE-2025-9806,6.4,2026-06-17T10:09:48.633
CVE-2025-9805,0.002830000,0.208870000,0.5740740740740741,2026-08-15,2026-08-15,CVE-2025-9805,7.5,2026-06-17T10:09:48.483
CVE-2025-9802,0.002600000,0.179080000,0.5342592592592592,2026-08-15,2026-08-15,CVE-2025-9802,4.7,2026-06-17T10:09:47.957
CVE-2025-9801,0.007160000,0.507140000,0.9141203703703704,2026-08-15,2026-08-15,CVE-2025-9801,8.1,2026-06-17T10:09:47.813
CVE-2025-9800,0.003090000,0.236280000,0.6247685185185186,2026-08-15,2026-08-15,CVE-2025-9800,6.1,2026-06-17T10:09:47.667
CVE-2025-9799,0.002790000,0.203890000,0.5682870370370371,2026-08-15,2026-08-15,CVE-2025-9799,5.0,2026-06-17T10:09:47.503
CVE-2025-9797,0.002670000,0.189470000,0.5458333333333333,2026-08-15,2026-08-15,CVE-2025-9797,2.4,2026-06-17T10:09:47.270
CVE-2025-9796,0.003560000,0.287080000,0.6993055555555555,2026-08-15,2026-08-15,CVE-2025-9796,4.1,2026-06-17T10:09:47.123
CVE-2025-9795,0.002240000,0.132810000,0.4398148148148148,2026-08-15,2026-08-15,CVE-2025-9795,5.4,2026-06-17T10:09:46.990
CVE-2025-9794,0.004210000,0.350950000,0.787962962962963,2026-08-15,2026-08-15,CVE-2025-9794,9.8,2026-06-17T10:09:46.850
CVE-2025-9793,0.004170000,0.347720000,0.7819444444444444,2026-08-15,2026-08-15,CVE-2025-9793,9.8,2026-06-17T10:09:46.710
CVE-2025-9792,0.004170000,0.347690000,0.7819444444444444,2026-08-15,2026-08-15,CVE-2025-9792,9.8,2026-06-17T10:09:46.573
CVE-2025-9791,0.008360000,0.546940000,0.93125,2026-08-15,2026-08-15,CVE-2025-9791,9.8,2026-06-17T10:09:46.433
CVE-2025-9790,0.004780000,0.392270000,0.8405092592592592,2026-08-15,2026-08-15,CVE-2025-9790,9.8,2026-06-17T10:09:46.297
CVE-2025-9789,0.004780000,0.392260000,0.8405092592592592,2026-08-15,2026-08-15,CVE-2025-9789,9.8,2026-06-17T10:09:46.150
CVE-2025-9788,0.004170000,0.347680000,0.7819444444444444,2026-08-15,2026-08-15,CVE-2025-9788,9.8,2026-06-17T10:09:46.013
CVE-2025-9786,0.004170000,0.347710000,0.7819444444444444,2026-08-15,2026-08-15,CVE-2025-9786,9.8,2026-06-17T10:09:45.767
CVE-2025-9783,0.006490000,0.480930000,0.9,2026-08-15,2026-08-15,CVE-2025-9783,8.8,2026-06-17T10:09:45.080
CVE-2025-9782,0.006490000,0.480930000,0.9,2026-08-15,2026-08-15,CVE-2025-9782,8.8,2026-06-17T10:09:44.940
CVE-2025-9781,0.006490000,0.480940000,0.9,2026-08-15,2026-08-15,CVE-2025-9781,8.8,2026-06-17T10:09:44.807
CVE-2025-9780,0.006490000,0.480940000,0.9,2026-08-15,2026-08-15,CVE-2025-9780,8.8,2026-06-17T10:09:44.670
CVE-2025-9779,0.006490000,0.480930000,0.9,2026-08-15,2026-08-15,CVE-2025-9779,8.8,2026-06-17T10:09:44.533
CVE-2025-9778,0.001410000,0.039450000,0.13541666666666666,2026-08-15,2026-08-15,CVE-2025-9778,7.0,2026-06-17T10:09:44.387
CVE-2025-9775,0.005320000,0.424420000,0.868287037037037,2026-08-15,2026-08-15,CVE-2025-9775,9.8,2026-06-17T10:09:44.147
CVE-2025-9774,0.003880000,0.320540000,0.7523148148148148,2026-08-15,2026-08-15,CVE-2025-9774,4.3,2026-06-17T10:09:44.013
CVE-2025-9773,0.003950000,0.327150000,0.7574074074074074,2026-08-15,2026-08-15,CVE-2025-9773,6.1,2026-06-17T10:09:43.877
CVE-2025-9772,0.005320000,0.424420000,0.868287037037037,2026-08-15,2026-08-15,CVE-2025-9772,9.8,2026-06-17T10:09:43.737
CVE-2025-9771,0.004200000,0.350760000,0.7875,2026-08-15,2026-08-15,CVE-2025-9771,9.8,2026-06-17T10:09:43.600
CVE-2025-9770,0.004740000,0.389540000,0.8377314814814815,2026-08-15,2026-08-15,CVE-2025-9770,9.8,2026-06-17T10:09:43.467
CVE-2025-9769,0.258750000,0.977980000,0.9969907407407408,2026-08-15,2026-08-15,CVE-2025-9769,6.2,2026-06-17T10:09:43.330
CVE-2025-9768,0.004370000,0.364130000,0.8023148148148148,2026-08-15,2026-08-15,CVE-2025-9768,9.8,2026-06-17T10:09:43.187
CVE-2025-9767,0.005250000,0.420590000,0.8652777777777778,2026-08-15,2026-08-15,CVE-2025-9767,9.8,2026-06-17T10:09:43.050
CVE-2025-9766,0.005960000,0.456770000,0.8861111111111111,2026-08-15,2026-08-15,CVE-2025-9766,9.8,2026-06-17T10:09:42.910
CVE-2025-9765,0.004210000,0.350900000,0.787962962962963,2026-08-15,2026-08-15,CVE-2025-9765,9.8,2026-06-17T10:09:42.777
CVE-2025-9764,0.004210000,0.350980000,0.787962962962963,2026-08-15,2026-08-15,CVE-2025-9764,9.8,2026-06-17T10:09:42.640
