cve,epss,percentile,percentile_subset,timestamp,date,cve.id,cvss_baseScore,cve.lastModified
CVE-2025-9815,0.002680000,0.181860000,0.5717592592592593,2026-06-21,2026-06-21,CVE-2025-9815,7.8,2026-06-17T10:09:49.767
CVE-2025-9814,0.003840000,0.300460000,0.75625,2026-06-21,2026-06-21,CVE-2025-9814,9.8,2026-06-17T10:09:49.630
CVE-2025-9813,0.007850000,0.512390000,0.9287037037037037,2026-06-21,2026-06-21,CVE-2025-9813,8.8,2026-06-17T10:09:49.497
CVE-2025-9812,0.005950000,0.437400000,0.8921296296296296,2026-06-21,2026-06-21,CVE-2025-9812,8.8,2026-06-17T10:09:49.360
CVE-2025-9811,0.003840000,0.300410000,0.75625,2026-06-21,2026-06-21,CVE-2025-9811,9.8,2026-06-17T10:09:49.223
CVE-2025-9810,0.000990000,0.010050000,0.038425925925925926,2026-06-21,2026-06-21,CVE-2025-9810,5.8,2026-06-17T10:09:49.110
CVE-2025-9809,0.003950000,0.311600000,0.7793981481481481,2026-06-21,2026-06-21,CVE-2025-9809,9.8,2026-06-17T10:09:48.990
CVE-2025-9806,0.001450000,0.040330000,0.1761574074074074,2026-06-21,2026-06-21,CVE-2025-9806,6.4,2026-06-17T10:09:48.633
CVE-2025-9805,0.002610000,0.172370000,0.5587962962962963,2026-06-21,2026-06-21,CVE-2025-9805,7.5,2026-06-17T10:09:48.483
CVE-2025-9802,0.002400000,0.147980000,0.5136574074074074,2026-06-21,2026-06-21,CVE-2025-9802,4.7,2026-06-17T10:09:47.957
CVE-2025-9801,0.006600000,0.466700000,0.905787037037037,2026-06-21,2026-06-21,CVE-2025-9801,8.1,2026-06-17T10:09:47.813
CVE-2025-9800,0.002850000,0.200220000,0.6011574074074074,2026-06-21,2026-06-21,CVE-2025-9800,6.1,2026-06-17T10:09:47.667
CVE-2025-9799,0.002570000,0.167960000,0.5476851851851852,2026-06-21,2026-06-21,CVE-2025-9799,5.0,2026-06-17T10:09:47.503
CVE-2025-9797,0.002460000,0.155650000,0.5252314814814815,2026-06-21,2026-06-21,CVE-2025-9797,2.4,2026-06-17T10:09:47.270
CVE-2025-9796,0.003280000,0.243490000,0.6747685185185185,2026-06-21,2026-06-21,CVE-2025-9796,4.1,2026-06-17T10:09:47.123
CVE-2025-9795,0.002060000,0.106030000,0.4152777777777778,2026-06-21,2026-06-21,CVE-2025-9795,5.4,2026-06-17T10:09:46.990
CVE-2025-9794,0.003870000,0.303830000,0.7641203703703704,2026-06-21,2026-06-21,CVE-2025-9794,9.8,2026-06-17T10:09:46.850
