cve,epss,percentile,percentile_subset,timestamp,date,cve.id,cvss_baseScore,cve.lastModified
CVE-2025-9815,0.000540000,0.165870000,0.738717889377459,2026-03-14,2026-03-14,CVE-2025-9815,7.8,2025-09-04T16:13:28.567
CVE-2025-9814,0.000290000,0.079790000,0.4619301087711178,2026-03-14,2026-03-14,CVE-2025-9814,9.8,2025-09-03T15:46:35.893
CVE-2025-9813,0.003340000,0.558510000,0.9486230039342745,2026-03-14,2026-03-14,CVE-2025-9813,8.8,2025-09-04T17:48:17.693
CVE-2025-9812,0.002680000,0.499910000,0.9398287433464476,2026-03-14,2026-03-14,CVE-2025-9812,8.8,2025-09-04T17:01:04.197
CVE-2025-9811,0.000290000,0.079790000,0.4619301087711178,2026-03-14,2026-03-14,CVE-2025-9811,9.8,2025-09-03T15:46:46.483
CVE-2025-9810,0.000110000,0.012470000,0.04813700532284194,2026-03-14,2026-03-14,CVE-2025-9810,5.8,2025-12-08T15:27:15.590
CVE-2025-9809,0.004080000,0.607950000,0.9585744040731312,2026-03-14,2026-03-14,CVE-2025-9809,9.8,2025-12-08T15:18:11.893
CVE-2025-9806,0.000110000,0.013870000,0.04813700532284194,2026-03-14,2026-03-14,CVE-2025-9806,6.4,2025-12-31T00:48:39.297
CVE-2025-9805,0.000600000,0.184630000,0.7711177968062949,2026-03-14,2026-03-14,CVE-2025-9805,7.5,2025-11-14T20:34:38.053
CVE-2025-9802,0.000240000,0.062250000,0.3401990280027771,2026-03-14,2026-03-14,CVE-2025-9802,4.7,2025-09-02T15:55:25.420
CVE-2025-9801,0.000720000,0.217350000,0.8049062716963665,2026-03-14,2026-03-14,CVE-2025-9801,8.1,2025-11-14T20:36:09.667
CVE-2025-9800,0.000530000,0.165560000,0.7345521869937515,2026-03-14,2026-03-14,CVE-2025-9800,6.1,2025-11-14T20:37:54.983
CVE-2025-9799,0.000420000,0.126550000,0.6739180745197871,2026-03-14,2026-03-14,CVE-2025-9799,5.0,2025-12-02T19:04:22.443
CVE-2025-9797,0.000280000,0.074310000,0.42814163388104604,2026-03-14,2026-03-14,CVE-2025-9797,2.4,2025-09-02T15:55:25.420
CVE-2025-9796,0.000350000,0.101530000,0.5912983105762555,2026-03-14,2026-03-14,CVE-2025-9796,4.1,2025-09-04T16:54:57.613
CVE-2025-9795,0.000290000,0.081510000,0.4619301087711178,2026-03-14,2026-03-14,CVE-2025-9795,5.4,2025-09-04T16:53:20.223
CVE-2025-9794,0.000370000,0.107150000,0.6213839389030317,2026-03-14,2026-03-14,CVE-2025-9794,9.8,2025-09-03T15:53:51.967
CVE-2025-9793,0.000290000,0.079790000,0.4619301087711178,2026-03-14,2026-03-14,CVE-2025-9793,9.8,2025-09-03T15:54:00.297
CVE-2025-9792,0.000290000,0.079790000,0.4619301087711178,2026-03-14,2026-03-14,CVE-2025-9792,9.8,2025-09-03T15:54:07.633
CVE-2025-9791,0.003710000,0.585650000,0.9534829900485998,2026-03-14,2026-03-14,CVE-2025-9791,9.8,2025-09-04T16:20:55.250
