cve,epss,percentile,percentile_subset,timestamp,date
CVE-2025-9815,0.000780000,0.236830000,0.8367252543940795,2025-11-13,2025-11-13
CVE-2025-9814,0.000370000,0.106440000,0.43478260869565216,2025-11-13,2025-11-13
CVE-2025-9813,0.001090000,0.298570000,0.8813598519888992,2025-11-13,2025-11-13
CVE-2025-9812,0.001090000,0.298570000,0.8813598519888992,2025-11-13,2025-11-13
CVE-2025-9811,0.000370000,0.106440000,0.43478260869565216,2025-11-13,2025-11-13
CVE-2025-9810,0.000160000,0.025000000,0.08117483811285846,2025-11-13,2025-11-13
CVE-2025-9809,0.000940000,0.270370000,0.862627197039778,2025-11-13,2025-11-13
CVE-2025-9806,0.000140000,0.019150000,0.05226641998149861,2025-11-13,2025-11-13
CVE-2025-9805,0.000640000,0.200080000,0.793940795559667,2025-11-13,2025-11-13
CVE-2025-9802,0.000380000,0.111480000,0.4787234042553192,2025-11-13,2025-11-13
CVE-2025-9801,0.001030000,0.289860000,0.8755781683626273,2025-11-13,2025-11-13
CVE-2025-9800,0.000640000,0.200080000,0.793940795559667,2025-11-13,2025-11-13
CVE-2025-9799,0.000540000,0.168860000,0.7345050878815911,2025-11-13,2025-11-13
CVE-2025-9797,0.000400000,0.119380000,0.5492599444958371,2025-11-13,2025-11-13
CVE-2025-9796,0.000450000,0.134990000,0.6149398704902868,2025-11-13,2025-11-13
CVE-2025-9795,0.000300000,0.077140000,0.28191489361702127,2025-11-13,2025-11-13
CVE-2025-9794,0.000550000,0.172860000,0.7437557816836263,2025-11-13,2025-11-13
CVE-2025-9793,0.000370000,0.106440000,0.43478260869565216,2025-11-13,2025-11-13
CVE-2025-9792,0.000370000,0.106440000,0.43478260869565216,2025-11-13,2025-11-13
CVE-2025-9791,0.001120000,0.303930000,0.8841350601295097,2025-11-13,2025-11-13
CVE-2025-9790,0.000390000,0.112940000,0.49051803885291395,2025-11-13,2025-11-13
CVE-2025-9789,0.000510000,0.156990000,0.7123034227567068,2025-11-13,2025-11-13
CVE-2025-9788,0.000370000,0.106440000,0.43478260869565216,2025-11-13,2025-11-13
CVE-2025-9786,0.000370000,0.106440000,0.43478260869565216,2025-11-13,2025-11-13
CVE-2025-9783,0.001670000,0.382850000,0.9137372802960222,2025-11-13,2025-11-13
CVE-2025-9782,0.001670000,0.382850000,0.9137372802960222,2025-11-13,2025-11-13
CVE-2025-9781,0.001670000,0.382850000,0.9137372802960222,2025-11-13,2025-11-13
CVE-2025-9780,0.001670000,0.382850000,0.9137372802960222,2025-11-13,2025-11-13
CVE-2025-9779,0.001670000,0.382850000,0.9137372802960222,2025-11-13,2025-11-13
CVE-2025-9778,0.000140000,0.018780000,0.05226641998149861,2025-11-13,2025-11-13
CVE-2025-9775,0.000620000,0.195200000,0.7870027752081407,2025-11-13,2025-11-13
CVE-2025-9774,0.000340000,0.090190000,0.33024976873265494,2025-11-13,2025-11-13
CVE-2025-9773,0.000470000,0.143270000,0.6496299722479186,2025-11-13,2025-11-13
CVE-2025-9772,0.000620000,0.195200000,0.7870027752081407,2025-11-13,2025-11-13
CVE-2025-9771,0.000370000,0.106440000,0.43478260869565216,2025-11-13,2025-11-13
CVE-2025-9770,0.000400000,0.117960000,0.5492599444958371,2025-11-13,2025-11-13
CVE-2025-9769,0.000510000,0.158510000,0.7123034227567068,2025-11-13,2025-11-13
CVE-2025-9768,0.000370000,0.107860000,0.43478260869565216,2025-11-13,2025-11-13
CVE-2025-9767,0.000390000,0.112940000,0.49051803885291395,2025-11-13,2025-11-13
CVE-2025-9766,0.000390000,0.112940000,0.49051803885291395,2025-11-13,2025-11-13
CVE-2025-9765,0.000390000,0.112940000,0.49051803885291395,2025-11-13,2025-11-13
CVE-2025-9764,0.000390000,0.112940000,0.49051803885291395,2025-11-13,2025-11-13
CVE-2025-9763,0.000390000,0.112940000,0.49051803885291395,2025-11-13,2025-11-13
