cve,epss,percentile,percentile_subset,timestamp,date,cve.id,cvss_baseScore,cve.lastModified
CVE-2025-9815,0.000500000,0.155110000,0.4968757232122194,2026-01-31,2026-01-31,CVE-2025-9815,7.8,2025-09-04T16:13:28.567
CVE-2025-9814,0.000210000,0.045820000,0.11455681555195557,2026-01-31,2026-01-31,CVE-2025-9814,9.8,2025-09-03T15:46:35.893
CVE-2025-9813,0.002370000,0.465180000,0.9236287896320297,2026-01-31,2026-01-31,CVE-2025-9813,8.8,2025-09-04T17:48:17.693
CVE-2025-9812,0.001900000,0.408990000,0.9062716963665818,2026-01-31,2026-01-31,CVE-2025-9812,8.8,2025-09-04T17:01:04.197
CVE-2025-9811,0.000210000,0.045820000,0.11455681555195557,2026-01-31,2026-01-31,CVE-2025-9811,9.8,2025-09-03T15:46:46.483
CVE-2025-9810,0.000100000,0.009380000,0.0372598935431613,2026-01-31,2026-01-31,CVE-2025-9810,5.8,2025-12-08T15:27:15.590
CVE-2025-9809,0.003430000,0.564650000,0.9430687340893312,2026-01-31,2026-01-31,CVE-2025-9809,9.8,2025-12-08T15:18:11.893
CVE-2025-9806,0.000080000,0.005880000,0.022448507289979172,2026-01-31,2026-01-31,CVE-2025-9806,6.4,2025-12-31T00:48:39.297
CVE-2025-9805,0.000440000,0.132740000,0.4341587595464013,2026-01-31,2026-01-31,CVE-2025-9805,7.5,2025-11-14T20:34:38.053
CVE-2025-9802,0.000190000,0.039270000,0.08956260124971072,2026-01-31,2026-01-31,CVE-2025-9802,4.7,2025-09-02T15:55:25.420
CVE-2025-9801,0.000730000,0.222070000,0.7484378616061097,2026-01-31,2026-01-31,CVE-2025-9801,8.1,2025-11-14T20:36:09.667
CVE-2025-9800,0.000390000,0.116990000,0.4070816940523027,2026-01-31,2026-01-31,CVE-2025-9800,6.1,2025-11-14T20:37:54.983
CVE-2025-9799,0.000310000,0.084590000,0.372830363341819,2026-01-31,2026-01-31,CVE-2025-9799,5.0,2025-12-02T19:04:22.443
CVE-2025-9797,0.000200000,0.044540000,0.09928257347836149,2026-01-31,2026-01-31,CVE-2025-9797,2.4,2025-09-02T15:55:25.420
